trl_n curr_stim_level search nitems curr_target
1 3 0 4 2
2 3 0 12 1
3 3 0 8 2
4 3 0 12 2
5 3 0 8 2
6 3 0 8 1
7 3 0 8 1
8 3 0 4 2
9 3 0 8 1
10 3 0 12 1
11 3 0 8 1
12 3 0 12 1
13 3 0 4 2
14 3 0 12 2
15 3 0 4 2
16 3 0 4 1
17 3 0 12 1
18 3 0 4 1
19 3 0 12 2
20 3 0 12 2
21 3 0 8 2
22 3 0 4 2
23 3 0 8 2
24 3 0 12 1
25 3 0 4 1
26 3 0 8 2
27 3 0 8 1
28 3 0 4 1
29 3 0 12 2
30 3 0 4 1
31 1 0 4 1
32 1 0 8 2
33 1 0 8 2
34 1 0 4 1
35 1 0 12 1
36 1 0 8 2
37 1 0 8 1
38 1 0 12 1
39 1 0 8 1
40 1 0 12 1
41 1 0 12 2
42 1 0 4 1
43 1 0 4 2
44 1 0 4 1
45 1 0 4 2
46 1 0 12 2
47 1 0 4 2
48 1 0 12 2
49 1 0 8 1
50 1 0 4 1
51 1 0 12 2
52 1 0 8 1
53 1 0 8 1
54 1 0 12 1
55 1 0 4 2
56 1 0 12 2
57 1 0 12 1
58 1 0 8 2
59 1 0 8 2
60 1 0 4 2
61 0 0 8 2
62 0 0 4 1
63 0 0 8 2
64 0 0 4 1
65 0 0 12 1
66 0 0 8 2
67 0 0 12 2
68 0 0 12 1
69 0 0 8 2
70 0 0 12 2
71 0 0 8 1
72 0 0 12 2
73 0 0 8 2
74 0 0 4 1
75 0 0 12 2
76 0 0 8 1
77 0 0 12 2
78 0 0 12 1
79 0 0 12 1
80 0 0 4 2
81 0 0 4 2
82 0 0 4 2
83 0 0 4 2
84 0 0 4 2
85 0 0 8 1
86 0 0 4 1
87 0 0 4 1
88 0 0 12 1
89 0 0 8 1
90 0 0 8 1
91 2 0 4 2
92 2 0 12 2
93 2 0 12 1
94 2 0 12 1
95 2 0 4 2
96 2 0 12 2
97 2 0 8 2
98 2 0 8 2
99 2 0 4 1
100 2 0 4 2
101 2 0 8 1
102 2 0 12 2
103 2 0 4 1
104 2 0 8 2
105 2 0 8 1
106 2 0 8 1
107 2 0 8 2
108 2 0 12 1
109 2 0 12 2
110 2 0 4 1
111 2 0 4 2
112 2 0 4 2
113 2 0 8 2
114 2 0 4 1
115 2 0 8 1
116 2 0 12 1
117 2 0 4 1
118 2 0 12 2
119 2 0 12 1
120 2 0 8 1
