trl_n curr_stim_level search nitems curr_target
1 0 0 8 1
2 0 1 12 2
3 0 0 4 1
4 0 1 12 2
5 0 1 8 2
6 0 0 8 2
7 0 1 4 1
8 0 0 4 1
9 0 1 4 2
10 0 1 12 2
11 0 0 8 2
12 0 1 4 1
13 0 0 12 2
14 0 0 12 2
15 0 0 4 2
16 0 1 8 2
17 0 1 12 2
18 0 1 4 2
19 0 0 12 1
20 0 1 8 1
21 0 0 12 1
22 0 0 8 2
23 0 1 4 2
24 0 1 8 2
25 0 1 8 1
26 0 0 4 2
27 0 1 4 2
28 0 0 4 1
29 0 1 8 2
30 0 1 8 1
31 0 0 12 2
32 0 1 8 1
33 0 0 4 2
34 0 0 12 2
35 0 0 12 1
36 0 0 8 2
37 0 1 12 1
38 0 1 12 2
39 0 1 12 2
40 0 1 4 2
41 0 0 8 1
42 0 0 4 1
43 0 0 8 2
44 0 1 4 1
45 0 1 8 1
46 0 0 8 2
47 0 0 4 2
48 0 1 4 2
49 0 0 12 1
50 0 0 12 2
51 0 1 8 2
52 0 0 4 2
53 0 0 12 1
54 0 0 12 2
55 0 1 12 1
56 0 0 12 2
57 0 1 8 2
58 0 1 4 1
59 0 1 4 2
60 0 0 4 1
61 0 1 8 1
62 0 0 8 1
63 0 1 4 1
64 0 1 12 1
65 0 1 12 2
66 0 0 8 1
67 0 1 4 1
68 0 0 4 1
69 0 0 8 1
70 0 0 8 1
71 0 1 8 1
72 0 1 8 2
73 0 0 4 2
74 0 1 4 1
75 0 0 4 2
76 0 0 12 1
77 0 1 8 1
78 0 1 12 2
79 0 1 12 1
80 0 0 4 2
81 0 1 4 1
82 0 0 12 2
83 0 0 4 2
84 0 0 12 1
85 0 1 12 1
86 0 1 8 1
87 0 1 8 2
88 0 0 12 1
89 0 1 4 2
90 0 1 12 1
91 0 1 12 1
92 0 0 12 2
93 0 1 12 2
94 0 0 12 1
95 0 1 8 2
96 0 0 8 1
97 0 0 4 1
98 0 0 4 2
99 0 1 12 1
100 0 1 4 1
101 0 1 12 1
102 0 0 12 1
103 0 1 8 2
104 0 1 8 1
105 0 1 4 1
106 0 0 8 2
107 0 0 4 1
108 0 0 8 2
109 0 1 4 2
110 0 1 12 1
111 0 0 4 1
112 0 0 8 1
113 0 0 8 1
114 0 0 12 2
115 0 0 8 1
116 0 0 4 1
117 0 1 4 2
118 0 1 12 2
119 0 0 8 2
120 0 0 8 2
121 3 1 8 2
122 3 1 4 1
123 3 0 8 1
124 3 1 8 1
125 3 1 8 1
126 3 1 12 2
127 3 0 8 2
128 3 0 12 2
129 3 1 4 1
130 3 1 8 2
131 3 0 4 1
132 3 0 4 1
133 3 1 8 1
134 3 0 4 2
135 3 0 8 1
136 3 0 12 2
137 3 0 8 2
138 3 1 4 1
139 3 0 4 2
140 3 1 12 2
141 3 0 4 1
142 3 0 12 1
143 3 1 12 1
144 3 1 8 1
145 3 0 4 2
146 3 0 12 2
147 3 1 4 1
148 3 1 8 1
149 3 0 4 1
150 3 1 8 2
151 3 0 4 2
152 3 1 12 2
153 3 1 12 2
154 3 0 12 1
155 3 0 4 1
156 3 1 4 1
157 3 1 8 2
158 3 1 8 1
159 3 0 8 2
160 3 1 4 1
161 3 0 4 2
162 3 0 8 2
163 3 1 4 2
164 3 1 8 2
165 3 1 12 1
166 3 1 8 2
167 3 0 12 2
168 3 0 12 2
169 3 0 12 1
170 3 0 4 1
171 3 1 12 2
172 3 1 8 2
173 3 0 4 1
174 3 0 8 1
175 3 0 8 1
176 3 0 4 2
177 3 1 8 1
178 3 1 8 1
179 3 1 4 1
180 3 1 8 1
181 3 1 4 2
182 3 0 4 1
183 3 0 8 1
184 3 0 8 1
185 3 0 8 1
186 3 1 4 1
187 3 1 4 2
188 3 0 12 2
189 3 1 4 2
190 3 1 4 2
191 3 0 12 1
192 3 0 8 2
193 3 1 4 2
194 3 0 4 1
195 3 1 12 2
196 3 1 12 1
197 3 0 12 1
198 3 0 8 2
199 3 1 4 2
200 3 1 12 2
201 3 1 12 1
202 3 0 12 2
203 3 0 4 2
204 3 0 12 1
205 3 1 8 2
206 3 1 12 1
207 3 1 12 1
208 3 1 12 2
209 3 1 4 2
210 3 0 12 1
211 3 0 12 1
