# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 214.00 23.00 -0.34 0.82
1 1.00 284.00 0.00 -7.52 -5.51
1 2.00 265.00 33.00 -7.10 -5.08
1 3.00 428.00 0.00 7.97 -5.88
1 4.00 519.00 31.00 7.85 -6.28
1 5.00 163.00 0.00 -6.89 -4.84
1 6.00 504.00 nan -6.95 -5.19
2 0.00 190.00 23.00 -0.18 0.95
2 1.00 167.00 0.00 -2.89 -6.96
2 2.00 207.00 0.00 -1.77 -7.66
2 3.00 280.00 6.00 -1.44 -7.91
2 4.00 226.00 0.00 3.42 -7.94
2 5.00 164.00 8.00 4.08 -7.92
2 6.00 191.00 0.00 8.27 -5.19
2 7.00 185.00 13.00 8.16 -5.05
2 8.00 457.00 11.00 10.77 -0.66
2 9.00 468.00 14.00 11.36 4.29
2 10.00 294.00 61.00 8.38 8.93
2 11.00 446.00 16.00 3.73 11.20
2 12.00 197.00 0.00 -1.27 11.17
2 13.00 168.00 12.00 -1.73 11.29
2 14.00 107.00 0.00 -6.35 8.89
2 15.00 174.00 9.00 -6.83 8.67
2 16.00 114.00 0.00 -8.90 5.15
2 17.00 273.00 5.00 -9.23 4.32
2 18.00 181.00 1.00 -9.00 0.68
2 19.00 345.00 15.00 -9.12 -1.42
2 20.00 183.00 0.00 -7.13 -5.49
2 21.00 389.00 7.00 -6.19 -5.60
2 22.00 202.00 0.00 -3.64 -7.68
2 23.00 456.00 16.00 -1.71 -7.80
2 24.00 212.00 0.00 3.58 -7.70
2 25.00 199.00 7.00 3.97 -7.72
2 26.00 299.00 11.00 7.75 -5.68
2 27.00 147.00 0.00 5.06 -7.14
2 28.00 744.00 nan 3.69 -7.69
3 0.00 229.00 21.00 0.03 1.32
3 1.00 176.00 0.00 -4.78 -6.60
3 2.00 380.00 9.00 -4.05 -7.05
3 3.00 341.00 11.00 1.18 -8.05
3 4.00 231.00 0.00 6.07 -6.70
3 5.00 222.00 11.00 6.62 -6.95
3 6.00 136.00 0.00 9.82 -3.48
3 7.00 742.00 0.00 10.12 -3.33
3 8.00 386.00 0.00 10.41 -4.83
3 9.00 397.00 5.00 10.16 -5.45
3 10.00 213.00 0.00 11.27 -1.36
3 11.00 401.00 8.00 11.56 -0.95
3 12.00 180.00 nan 9.83 -4.16
4 0.00 213.00 25.00 0.08 0.85
4 1.00 169.00 23.00 -4.44 -8.05
4 2.00 361.00 17.00 -6.05 -5.67
4 3.00 200.00 0.00 1.36 -8.64
4 4.00 197.00 16.00 1.01 -9.02
4 5.00 106.00 0.00 8.36 -6.38
4 6.00 254.00 20.00 8.36 -6.06
4 7.00 155.00 0.00 11.20 1.24
4 8.00 238.00 14.00 11.47 1.10
4 9.00 256.00 0.00 8.26 7.94
4 10.00 176.00 15.00 8.49 8.53
4 11.00 271.00 0.00 1.91 11.93
4 12.00 154.00 19.00 1.49 11.67
4 13.00 136.00 0.00 -6.01 9.27
4 14.00 211.00 21.00 -6.43 9.10
4 15.00 166.00 0.00 -9.62 1.96
4 16.00 1403.00 nan -9.54 1.49
5 0.00 187.00 20.00 0.05 1.00
5 1.00 450.00 13.00 -5.60 -6.84
5 2.00 160.00 0.00 -1.47 -8.77
5 3.00 557.00 10.00 -0.54 -8.61
5 4.00 396.00 16.00 4.75 -8.09
5 5.00 422.00 58.00 9.12 -5.03
5 6.00 105.00 0.00 11.23 -0.94
5 7.00 361.00 13.00 11.16 -0.06
5 8.00 498.00 10.00 10.79 5.40
5 9.00 376.00 12.00 7.79 9.66
5 10.00 183.00 0.00 3.58 11.26
5 11.00 950.00 13.00 2.75 11.48
5 12.00 290.00 0.00 7.57 9.91
5 13.00 277.00 15.00 7.71 9.54
5 14.00 114.00 0.00 2.98 11.47
5 15.00 208.00 nan 2.62 11.72
6 0.00 210.00 21.00 -0.03 0.89
6 1.00 170.00 1.00 -2.00 -8.75
6 2.00 232.00 0.00 -0.06 -8.99
6 3.00 407.00 8.00 0.25 -8.98
6 4.00 264.00 0.00 5.40 -8.18
6 5.00 150.00 10.00 5.42 -8.09
6 6.00 154.00 0.00 9.66 -4.95
6 7.00 393.00 12.00 9.71 -4.38
6 8.00 167.00 0.00 11.50 0.94
6 9.00 344.00 7.00 11.65 0.94
6 10.00 202.00 0.00 10.72 5.79
6 11.00 231.00 10.00 10.77 6.07
6 12.00 539.00 36.00 7.02 10.15
6 13.00 167.00 0.00 3.51 11.23
6 14.00 333.00 15.00 2.07 11.51
6 15.00 423.00 17.00 -3.62 10.59
6 16.00 115.00 0.00 -7.49 7.33
6 17.00 234.00 10.00 -7.90 7.06
6 18.00 126.00 0.00 -9.28 3.71
6 19.00 575.00 12.00 -9.70 2.40
6 20.00 218.00 0.00 -8.40 -2.35
6 21.00 250.00 16.00 -8.35 -2.59
6 22.00 313.00 0.00 -5.24 -6.59
6 23.00 248.00 6.00 -4.93 -6.92
6 24.00 321.00 0.00 -1.59 -9.02
6 25.00 560.00 13.00 0.12 -8.84
6 26.00 115.00 nan -4.38 -7.03
7 0.00 184.00 19.00 -0.23 1.17
7 1.00 440.00 35.00 -8.39 -2.65
7 2.00 207.00 0.00 5.13 -7.78
7 3.00 203.00 34.00 5.68 -7.64
7 4.00 276.00 126.00 10.72 5.80
7 5.00 168.00 0.00 -2.36 10.80
7 6.00 1014.00 42.00 -3.66 10.79
7 7.00 150.00 nan -9.16 -4.14
8 0.00 209.00 22.00 -0.28 1.05
8 1.00 111.00 0.00 -9.01 -2.63
8 2.00 331.00 37.00 -8.81 -2.40
8 3.00 418.00 38.00 4.92 -8.00
8 4.00 358.00 40.00 10.86 5.09
8 5.00 123.00 0.00 -3.24 10.95
8 6.00 280.00 34.00 -3.39 11.13
8 7.00 223.00 0.00 10.03 5.95
8 8.00 406.00 0.00 10.70 5.65
8 9.00 702.00 nan 10.56 3.65
9 nan nan nan nan nan
10 0.00 213.00 17.00 0.50 1.06
10 1.00 107.00 0.00 -2.61 -6.85
10 2.00 497.00 46.00 -2.13 -7.98
10 3.00 189.00 0.00 11.73 -1.50
10 4.00 578.00 0.00 11.01 -2.12
10 5.00 456.00 36.00 10.94 -4.14
10 6.00 133.00 0.00 -1.57 -9.63
10 7.00 356.00 78.00 -2.09 -10.16
10 8.00 416.00 0.00 10.79 -3.74
10 9.00 121.00 nan 10.55 -3.73
11 0.00 212.00 20.00 -0.10 0.72
11 1.00 604.00 2.00 -7.38 -4.59
11 2.00 231.00 0.00 -6.95 -6.90
11 3.00 380.00 32.00 -7.13 -6.80
11 4.00 166.00 0.00 6.34 -8.89
11 5.00 417.00 38.00 7.31 -8.88
11 6.00 161.00 0.00 9.57 6.24
11 7.00 404.00 39.00 9.53 5.52
11 8.00 328.00 0.00 -4.71 7.62
11 9.00 870.00 nan -5.19 7.53
12 0.00 180.00 23.00 -0.11 0.48
12 1.00 160.00 87.00 -4.83 -7.06
12 2.00 188.00 0.00 -1.72 -10.30
