# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 199.00 56.00 -0.32 0.83
1 1.00 517.00 70.00 -7.32 -5.30
1 2.00 913.00 66.00 7.91 -6.11
1 3.00 135.00 22.00 -7.01 -4.82
1 4.00 491.00 nan -6.97 -5.17
2 0.00 174.00 57.00 -0.18 0.98
2 1.00 145.00 21.00 -2.93 -6.99
2 2.00 456.00 42.00 -1.57 -7.81
2 3.00 357.00 46.00 3.73 -7.92
2 4.00 341.00 52.00 8.21 -5.08
2 5.00 421.00 48.00 10.77 -0.65
2 6.00 433.00 49.00 11.36 4.35
2 7.00 310.00 40.00 8.30 9.04
2 8.00 420.00 44.00 3.66 11.23
2 9.00 332.00 46.00 -1.63 11.23
2 10.00 251.00 42.00 -6.81 8.66
2 11.00 356.00 38.00 -9.21 4.41
2 12.00 153.00 30.00 -9.00 0.33
2 13.00 316.00 45.00 -9.14 -1.55
2 14.00 164.00 20.00 -6.97 -5.84
2 15.00 356.00 41.00 -6.15 -5.58
2 16.00 176.00 27.00 -3.37 -7.91
2 17.00 430.00 47.00 -1.61 -7.79
2 18.00 375.00 41.00 4.01 -7.72
2 19.00 269.00 41.00 8.02 -5.48
2 20.00 875.00 nan 3.79 -7.66
3 0.00 214.00 53.00 0.05 1.33
3 1.00 525.00 43.00 -4.29 -6.93
3 2.00 311.00 42.00 1.19 -8.07
3 3.00 421.00 50.00 6.36 -6.81
3 4.00 194.00 16.00 9.76 -3.36
3 5.00 747.00 23.00 10.19 -3.42
3 6.00 646.00 41.00 10.27 -5.35
3 7.00 582.00 43.00 11.47 -1.02
3 8.00 159.00 nan 9.76 -4.32
4 0.00 197.00 59.00 0.09 0.87
4 1.00 160.00 33.00 -4.50 -8.07
4 2.00 331.00 48.00 -6.07 -5.65
4 3.00 365.00 58.00 1.19 -8.85
4 4.00 320.00 59.00 8.36 -6.11
4 5.00 132.00 10.00 11.17 1.34
4 6.00 215.00 52.00 11.46 1.09
4 7.00 395.00 48.00 8.33 8.26
4 8.00 393.00 55.00 1.67 11.86
