trl_n curr_stim_level search nitems curr_target
1 2 1 12 2
2 2 0 4 1
3 2 0 4 2
4 2 1 8 2
5 2 1 12 1
6 2 0 8 2
7 2 0 8 2
8 2 1 8 1
9 2 1 12 2
10 2 0 8 2
11 2 1 4 2
12 2 1 12 1
13 2 1 4 1
14 2 0 12 2
15 2 1 12 2
16 2 0 12 1
17 2 1 4 2
18 2 1 12 1
19 2 0 12 1
20 2 0 8 1
21 2 0 4 2
22 2 0 8 2
23 2 0 12 2
24 2 0 4 1
25 2 0 8 2
26 2 1 8 1
27 2 0 12 1
28 2 1 4 1
29 2 0 4 2
30 2 1 12 2
31 2 1 4 2
32 2 1 12 1
33 2 1 8 1
34 2 0 8 1
35 2 1 12 1
36 2 1 12 2
37 2 1 8 1
38 2 1 8 2
39 2 0 8 2
40 2 0 12 1
41 2 1 4 2
42 2 1 4 2
43 2 1 4 1
44 2 1 4 2
45 2 0 12 1
46 2 0 4 1
47 2 0 8 2
48 2 0 12 2
49 2 0 12 1
50 2 1 4 1
51 2 0 4 1
52 2 0 12 2
53 2 0 8 1
54 2 0 8 1
55 2 0 4 2
56 2 1 8 2
57 2 1 12 1
58 2 1 8 2
59 2 0 12 2
60 2 0 12 2
61 2 0 8 2
62 2 0 12 1
63 2 0 12 2
64 2 1 8 1
65 2 1 12 1
66 2 1 8 1
67 2 1 4 2
68 2 1 4 1
69 2 0 12 2
70 2 0 4 2
71 2 0 4 1
72 2 0 4 2
73 2 0 4 2
74 2 1 8 1
75 2 1 8 2
76 2 1 12 2
77 2 1 8 1
78 2 1 12 1
79 2 0 8 1
80 2 1 12 2
81 2 0 4 1
82 2 0 12 2
83 2 1 12 2
84 2 1 4 1
85 2 0 8 1
86 2 0 8 1
87 2 0 8 1
88 2 1 8 1
89 2 1 4 1
90 2 1 8 2
91 2 0 12 1
92 2 0 8 1
93 2 1 12 1
94 2 1 12 1
95 2 1 4 2
96 2 0 8 1
97 2 1 4 1
98 2 0 12 2
99 2 1 8 2
100 2 1 8 1
101 2 1 12 2
102 2 0 4 2
103 2 1 8 2
104 2 0 8 2
105 2 1 4 1
106 2 0 4 2
107 2 1 4 1
108 2 0 8 2
109 2 0 4 1
110 2 1 4 2
111 2 0 4 2
112 2 0 12 1
113 2 1 8 2
114 2 0 4 1
115 2 1 12 2
116 2 0 4 1
117 2 1 8 2
118 2 1 4 2
119 2 0 12 1
120 2 0 4 1
121 0 1 8 1
122 0 1 8 1
123 0 1 8 1
124 0 1 4 2
125 0 1 8 1
126 0 0 4 2
127 0 0 12 1
128 0 0 8 1
129 0 1 4 1
130 0 0 4 1
131 0 1 12 1
132 0 1 4 2
133 0 0 4 1
134 0 0 4 1
135 0 1 8 1
136 0 1 8 1
137 0 1 4 2
138 0 1 4 1
139 0 0 4 1
140 0 1 8 2
141 0 0 8 2
142 0 0 8 1
143 0 0 12 2
144 0 0 4 1
145 0 1 8 2
146 0 1 4 2
147 0 0 12 1
148 0 1 4 1
149 0 0 8 1
150 0 0 8 1
151 0 0 12 2
152 0 0 8 2
153 0 1 8 2
154 0 0 12 2
155 0 0 12 1
156 0 1 12 1
157 0 1 4 2
158 0 1 4 2
159 0 1 4 1
160 0 0 8 2
161 0 1 4 1
162 0 1 12 1
163 0 1 4 1
164 0 1 12 1
165 0 1 12 2
166 0 0 4 1
167 0 1 12 2
168 0 0 8 2
169 0 0 4 2
170 0 0 8 1
171 0 0 4 2
172 0 1 8 2
173 0 1 4 2
174 0 1 4 1
175 0 0 8 1
176 0 1 12 2
177 0 0 12 2
178 0 0 8 2
179 0 1 4 1
180 0 0 12 2
181 0 1 12 2
182 0 0 8 1
183 0 1 8 2
184 0 1 12 2
185 0 0 8 1
186 0 1 4 1
187 0 0 12 2
188 0 0 4 2
189 0 0 8 2
190 0 0 8 2
191 0 1 8 2
192 0 0 12 1
193 0 1 4 2
194 0 0 12 2
195 0 1 12 2
196 0 1 12 1
197 0 1 8 1
198 0 0 4 1
199 0 1 12 1
200 0 1 12 2
201 0 0 12 2
202 0 1 8 1
203 0 1 8 2
204 0 1 12 1
205 0 0 12 2
206 0 1 4 2
207 0 0 4 2
208 0 1 12 2
209 0 0 8 2
210 0 1 4 2
211 0 0 12 1
212 0 0 4 2
213 0 0 8 1
214 0 0 4 1
215 0 0 8 1
216 0 0 12 1
217 0 1 12 1
218 0 0 4 1
219 0 0 12 1
220 0 0 8 2
221 0 1 8 2
222 0 1 8 2
223 0 1 8 1
224 0 1 12 2
225 0 0 12 2
226 0 0 4 2
227 0 0 4 2
228 0 0 12 1
229 0 0 12 1
230 0 0 12 1
231 0 1 12 2
232 0 1 8 1
233 0 0 4 1
234 0 0 4 2
235 0 1 12 1
236 0 1 12 1
237 0 1 4 1
238 0 0 4 2
239 0 1 8 2
240 0 0 8 2
241 3 0 4 1
242 3 1 4 2
243 3 1 4 1
244 3 0 8 1
245 3 1 12 1
246 3 1 8 2
247 3 0 4 2
248 3 1 8 1
249 3 0 4 2
250 3 0 4 2
