trl_n curr_stim_level search nitems curr_target
1 2 1 4 2
2 2 1 12 2
3 2 0 12 2
4 2 1 4 1
5 2 0 4 2
6 2 0 12 2
7 2 1 4 1
8 2 1 8 1
9 2 1 8 2
10 2 0 8 1
11 2 1 4 2
12 2 1 12 1
13 2 0 12 1
14 2 1 12 2
15 2 1 12 2
16 2 0 12 1
17 2 1 12 2
18 2 1 12 1
19 2 0 8 1
20 2 1 8 2
21 2 1 8 2
22 2 1 8 2
23 2 0 4 2
24 2 0 12 2
25 2 0 4 1
26 2 0 8 2
27 2 0 8 1
28 2 0 4 1
29 2 0 12 1
30 2 1 8 2
31 2 0 12 2
32 2 1 8 1
33 2 0 4 1
34 2 0 8 1
35 2 0 12 1
36 2 0 4 2
37 2 0 12 1
38 2 1 8 2
39 2 1 8 1
40 2 1 4 2
41 2 0 12 2
42 2 1 4 2
43 2 0 8 1
44 2 1 4 1
45 2 0 8 2
46 2 1 4 1
47 2 0 12 1
48 2 0 4 1
49 2 1 12 1
50 2 1 12 1
51 2 1 4 2
52 2 0 4 1
53 2 0 12 2
54 2 0 4 2
55 2 1 8 1
56 2 1 4 1
57 2 1 12 2
58 2 0 8 2
59 2 0 4 1
60 2 0 4 1
61 2 1 8 1
62 2 0 4 1
63 2 0 4 1
64 2 0 8 2
65 2 0 4 2
66 2 1 4 1
67 2 1 8 2
68 2 0 8 2
69 2 1 4 2
70 2 1 8 1
71 2 0 12 1
72 2 1 8 2
73 2 1 4 2
74 2 0 8 1
75 2 1 4 2
76 2 0 4 2
77 2 0 4 2
78 2 1 4 1
79 2 1 12 1
80 2 1 8 1
81 2 1 12 1
82 2 1 4 1
83 2 0 12 1
84 2 0 12 2
85 2 0 12 2
86 2 0 8 1
87 2 0 12 1
88 2 0 8 2
89 2 1 12 2
90 2 1 4 2
91 2 0 8 2
92 2 1 8 1
93 2 1 12 1
94 2 1 12 2
95 2 1 12 1
96 2 0 4 2
97 2 0 12 1
98 2 0 8 2
99 2 0 4 2
100 2 0 8 2
101 2 1 12 1
102 2 1 8 2
103 2 1 12 1
104 2 0 8 1
105 2 0 12 2
106 2 1 8 1
107 2 1 4 2
108 2 1 4 1
109 2 0 4 1
110 2 0 4 2
111 2 0 12 2
112 2 1 8 2
