LUT_index	Luminance
19	8.788422
85	39.518315
230	107.131735
105	48.432037
166	77.418167
112	51.620233
95	44.116139
0	0.111378
169	79.064474
114	53.054225
49	22.592336
141	65.775683
233	109.195709
253	118.151198
214	99.370079
82	37.861566
22	10.330312
156	72.705485
210	97.504497
137	63.478512
36	16.825043
10	4.851905
228	106.411259
242	113.281890
208	96.895399
26	12.032307
237	111.291008
182	85.148498
45	20.956471
231	108.280321
43	20.176825
101	46.656950
4	2.039610
143	66.597096
176	81.647052
244	114.138109
113	52.385957
209	97.734215
50	23.371982
232	108.311646
54	25.119225
171	80.112123
174	80.850003
96	44.819212
75	34.694254
146	68.152908
198	92.318458
164	76.829952
71	33.131481
64	29.675282
142	65.733917
61	28.241290
1	0.654346
254	119.094431
235	110.135461
212	98.618278
5	2.474680
202	93.985648
163	75.869317
250	117.256694
247	115.168356
240	111.924471
91	42.306246
165	76.551507
32	14.778471
9	4.322859
127	59.148691
136	63.415861
206	95.799021
122	56.367721
100	46.597780
20	9.279181
73	33.667488
103	47.829899
98	45.351738
234	109.202670
144	67.251442
151	70.352624
55	25.547334
129	59.914415
34	15.840043
120	55.814311
196	91.291692
215	100.449054
197	92.151391
168	78.319633
145	67.136584
84	38.957944
172	79.938095
216	100.490821
39	18.272957
177	82.447581
135	62.695385
28	12.905928
69	32.059468
92	42.389779
104	48.411154
205	95.645877
190	88.479397
221	103.153452
8	3.832100
44	20.542284
138	64.289483
162	75.086190
72	33.632682
213	99.540627
219	102.446897
93	42.967553
255	119.282381
109	50.395075
194	90.306693
80	37.287274
249	116.076783
191	89.488760
27	12.592678
150	69.531211
78	36.239624
139	65.013440
252	118.311304
229	107.298802
59	27.329382
18	8.301143
124	57.853921
173	80.769950
159	74.310024
161	75.103593
147	68.845540
152	71.132270
35	16.160255
25	11.743420
56	25.982404
65	30.159080
131	60.707983
224	104.295076
37	17.187021
200	93.056338
86	40.082166
94	43.569690
46	21.318450
188	87.724115
217	101.430573
220	102.373805
180	84.191343
123	57.053392
77	35.724501
134	62.027117
6	2.829698
90	41.742394
81	37.262910
57	26.375708
11	5.196481
3	1.614981
110	51.004173
15	6.961126
153	71.104426
31	14.489585
225	105.311401
51	23.793130
245	114.190317
223	104.298557
52	24.224720
118	55.048588
132	61.344926
201	93.909076
184	85.882897
48	22.136382
47	21.711753
238	111.075213
88	40.632095
33	15.471103
251	117.037418
130	60.526994
58	26.880390
192	89.443513
12	5.753371
195	91.218600
70	32.581552
111	51.679402
239	112.067174
29	13.549833
149	69.614745
7	3.403991
243	113.358463
66	30.677684
193	90.567735
21	9.797785
121	56.360760
179	83.418658
99	46.030448
67	31.098832
133	62.068884
155	71.922358
117	54.369878
246	115.084822
248	116.355228
107	49.817301
63	29.215847
60	27.844506
13	6.157116
2	1.131183
175	81.744507
119	55.069471
74	34.227858
199	93.188599
236	110.361698
17	7.838228
226	105.415818
222	103.574600
186	87.045405
178	83.547439
211	98.823631
102	47.332179
62	28.759894
125	57.909610
126	58.633568
204	95.082025
53	24.680674
116	53.722493
227	106.519156
185	86.175264
106	49.239528
170	79.311594
40	18.673222
108	50.520375
154	72.054619
189	88.837895
30	13.859603
115	53.809507
207	97.010257
140	65.142221
218	101.507145
38	17.594247
241	113.302774
167	77.529545
23	10.612237
148	68.894268
76	35.237222
203	94.942803
157	73.439883
181	84.194824
128	59.214822
97	44.857499
160	74.445766
183	85.277279
24	11.179569
187	87.055847
79	36.799995
68	31.655722
83	38.481107
158	73.467728
16	7.406638
89	41.303843
87	40.089127
14	6.543459
