# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 157.00 16.00 0.04 0.07
1 1.00 313.00 20.00 -9.55 -0.86
1 2.00 168.00 0.00 -7.41 8.88
1 3.00 262.00 19.00 -7.99 6.99
1 4.00 213.00 20.00 -0.58 11.01
1 5.00 211.00 22.00 6.40 8.50
1 6.00 206.00 71.00 10.14 2.77
1 7.00 158.00 3.00 9.53 -2.50
1 8.00 237.00 21.00 8.35 -5.51
1 9.00 190.00 57.00 1.22 -8.72
1 10.00 192.00 119.00 -5.92 -7.92
1 11.00 164.00 0.00 -9.77 0.94
1 12.00 149.00 nan -10.03 -0.11
2 0.00 138.00 16.00 -0.02 0.12
2 1.00 203.00 39.00 -9.82 1.26
2 2.00 167.00 3.00 -7.25 7.18
2 3.00 244.00 14.00 -9.13 5.33
2 4.00 127.00 nan -10.40 -0.04
3 0.00 153.00 18.00 -0.04 0.20
3 1.00 255.00 19.00 -9.78 2.66
3 2.00 187.00 6.00 -5.48 8.66
3 3.00 151.00 44.00 -1.49 9.80
3 4.00 280.00 19.00 2.97 9.88
3 5.00 131.00 0.00 7.89 6.42
3 6.00 123.00 9.00 8.13 6.33
3 7.00 131.00 80.00 10.25 2.78
3 8.00 195.00 10.00 10.02 -2.33
3 9.00 131.00 92.00 7.28 -6.21
3 10.00 211.00 11.00 2.33 -8.66
3 11.00 186.00 12.00 -3.28 -8.83
3 12.00 193.00 12.00 -8.33 -6.08
3 13.00 129.00 nan -9.64 -2.27
4 0.00 148.00 17.00 -0.28 0.08
4 1.00 226.00 24.00 -9.62 1.81
4 2.00 155.00 31.00 -4.43 9.20
4 3.00 159.00 8.00 7.95 6.14
4 4.00 294.00 12.00 9.88 2.66
4 5.00 140.00 nan 7.16 6.57
5 0.00 148.00 16.00 -0.04 0.24
5 1.00 229.00 20.00 -9.89 1.17
5 2.00 137.00 0.00 -8.38 -5.80
5 3.00 192.00 19.00 -8.22 -5.98
5 4.00 189.00 34.00 -1.67 -8.00
5 5.00 176.00 17.00 -5.79 9.84
5 6.00 197.00 18.00 1.98 10.46
5 7.00 215.00 19.00 8.33 6.95
5 8.00 226.00 11.00 10.27 -0.68
5 9.00 111.00 0.00 7.17 -6.28
5 10.00 146.00 16.00 7.09 -6.76
5 11.00 212.00 12.00 -1.76 -9.09
5 12.00 204.00 18.00 -8.03 -5.29
5 13.00 150.00 nan -9.81 3.16
6 0.00 152.00 16.00 0.03 0.33
6 1.00 156.00 0.00 -9.18 -2.26
6 2.00 116.00 33.00 -8.79 -3.13
6 3.00 163.00 29.00 -5.00 9.41
6 4.00 226.00 34.00 8.27 5.54
6 5.00 251.00 51.00 5.79 -7.18
6 6.00 107.00 nan -1.69 0.83
7 0.00 162.00 17.00 -0.06 0.45
7 1.00 145.00 0.00 -8.91 -1.35
7 2.00 172.00 22.00 -8.68 -2.57
7 3.00 180.00 32.00 -4.70 9.64
7 4.00 210.00 30.00 8.94 4.89
7 5.00 132.00 0.00 5.34 -7.51
7 6.00 368.00 40.00 5.50 -7.75
7 7.00 196.00 nan -4.09 3.00
8 0.00 161.00 6.00 -5.48 0.56
8 1.00 200.00 13.00 -9.87 2.49
8 2.00 134.00 4.00 -9.34 -1.99
8 3.00 200.00 21.00 -8.68 -4.86
8 4.00 156.00 9.00 -8.64 4.80
8 5.00 174.00 12.00 -4.43 9.64
8 6.00 185.00 18.00 2.23 10.06
8 7.00 106.00 0.00 8.37 5.79
8 8.00 465.00 nan 8.76 5.89
9 0.00 159.00 15.00 -0.09 0.18
9 1.00 216.00 13.00 -9.29 0.11
9 2.00 129.00 78.00 -8.01 6.90
9 3.00 174.00 18.00 -1.55 10.46
9 4.00 244.00 23.00 5.44 9.36
9 5.00 159.00 101.00 10.52 4.21
9 6.00 179.00 68.00 9.32 -4.18
9 7.00 196.00 12.00 2.75 -8.98
9 8.00 162.00 56.00 -5.43 -8.54
9 9.00 224.00 26.00 -9.60 -1.26
9 10.00 154.00 nan -7.44 7.38
10 0.00 148.00 16.00 -0.23 0.53
10 1.00 222.00 1.00 -9.95 1.70
10 2.00 185.00 6.00 -10.18 -0.21
10 3.00 289.00 8.00 -9.39 3.68
10 4.00 103.00 nan -9.98 -0.11
11 0.00 147.00 19.00 -0.35 0.06
11 1.00 280.00 5.00 -10.41 1.78
11 2.00 116.00 93.00 -10.03 -1.66
11 3.00 132.00 32.00 -6.57 -7.60
11 4.00 159.00 12.00 -7.64 9.93
11 5.00 190.00 9.00 -1.85 10.14
11 6.00 169.00 11.00 3.08 9.99
11 7.00 189.00 12.00 7.40 7.56
11 8.00 226.00 10.00 9.76 2.64
11 9.00 201.00 8.00 10.14 -1.77
11 10.00 204.00 11.00 7.64 -5.66
11 11.00 191.00 10.00 2.75 -8.25
11 12.00 104.00 0.00 -2.73 -9.17
11 13.00 107.00 nan -3.26 -9.17
12 0.00 162.00 15.00 -0.19 0.17
12 1.00 160.00 2.00 -9.22 -0.94
12 2.00 168.00 19.00 -9.12 -3.20
12 3.00 201.00 11.00 -8.93 4.27
12 4.00 176.00 19.00 -3.74 9.03
12 5.00 241.00 20.00 3.82 9.39
12 6.00 214.00 28.00 9.00 5.35
12 7.00 211.00 16.00 9.93 -1.71
12 8.00 178.00 12.00 4.77 -7.65
12 9.00 200.00 nan -3.08 -9.17
