# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 140.00 53.00 0.07 0.07
1 1.00 281.00 62.00 -9.54 -0.86
1 2.00 124.00 43.00 -7.40 8.96
1 3.00 222.00 50.00 -7.98 6.97
1 4.00 186.00 50.00 -0.53 11.02
1 5.00 184.00 53.00 6.49 8.50
1 6.00 224.00 61.00 10.23 2.68
1 7.00 116.00 36.00 9.50 -2.59
1 8.00 207.00 52.00 8.33 -5.62
1 9.00 201.00 49.00 1.14 -8.82
1 10.00 255.00 55.00 -6.06 -7.87
1 11.00 130.00 30.00 -9.76 1.20
1 12.00 135.00 nan -10.05 -0.18
2 0.00 121.00 54.00 0.01 0.11
2 1.00 198.00 50.00 -9.81 1.28
2 2.00 128.00 36.00 -7.23 7.23
2 3.00 213.00 53.00 -9.13 5.30
2 4.00 101.00 nan -10.37 -0.11
3 0.00 137.00 58.00 -0.02 0.19
3 1.00 219.00 61.00 -9.76 2.69
3 2.00 146.00 38.00 -5.48 8.69
3 3.00 155.00 43.00 -1.41 9.84
3 4.00 247.00 54.00 3.03 9.88
3 5.00 216.00 49.00 8.06 6.36
3 6.00 166.00 47.00 10.38 2.67
3 7.00 161.00 42.00 10.03 -2.48
3 8.00 178.00 49.00 7.14 -6.43
3 9.00 175.00 45.00 2.20 -8.73
3 10.00 154.00 47.00 -3.48 -8.83
3 11.00 162.00 47.00 -8.47 -5.92
3 12.00 104.00 nan -9.66 -1.98
4 0.00 131.00 54.00 -0.26 0.08
4 1.00 197.00 55.00 -9.60 1.83
4 2.00 123.00 65.00 -4.42 9.22
4 3.00 126.00 48.00 8.02 6.15
4 4.00 252.00 48.00 9.92 2.64
4 5.00 119.00 nan 7.15 6.63
5 0.00 131.00 54.00 -0.02 0.23
5 1.00 195.00 56.00 -9.86 1.18
5 2.00 291.00 54.00 -8.27 -5.94
5 3.00 159.00 82.00 -1.60 -8.03
5 4.00 129.00 51.00 -5.81 9.94
5 5.00 165.00 50.00 2.07 10.46
5 6.00 185.00 52.00 8.41 6.92
5 7.00 191.00 48.00 10.33 -0.75
5 8.00 220.00 53.00 7.10 -6.69
5 9.00 179.00 55.00 -1.87 -9.15
5 10.00 162.00 69.00 -8.16 -5.13
5 11.00 113.00 nan -9.79 3.50
6 0.00 135.00 53.00 0.06 0.33
6 1.00 129.00 187.00 -9.17 -2.30
6 2.00 120.00 65.00 -4.99 9.43
6 3.00 192.00 80.00 8.34 5.53
6 4.00 228.00 nan 5.83 -7.26
7 0.00 145.00 52.00 -0.03 0.45
7 1.00 120.00 25.00 -8.89 -1.38
7 2.00 139.00 69.00 -8.67 -2.60
7 3.00 139.00 65.00 -4.69 9.69
7 4.00 176.00 78.00 8.99 4.88
7 5.00 452.00 85.00 5.48 -7.73
7 6.00 154.00 nan -4.11 3.08
8 0.00 145.00 42.00 -5.46 0.56
8 1.00 167.00 48.00 -9.85 2.51
8 2.00 101.00 47.00 -9.32 -2.02
8 3.00 156.00 68.00 -8.66 -4.88
8 4.00 109.00 44.00 -8.64 4.87
8 5.00 141.00 49.00 -4.40 9.69
8 6.00 152.00 49.00 2.33 10.06
8 7.00 553.00 nan 8.73 5.86
9 0.00 142.00 53.00 -0.07 0.18
9 1.00 183.00 48.00 -9.28 0.13
9 2.00 155.00 57.00 -8.00 7.03
9 3.00 136.00 52.00 -1.49 10.49
9 4.00 212.00 67.00 5.49 9.36
9 5.00 192.00 61.00 10.63 4.10
9 6.00 187.00 57.00 9.32 -4.32
9 7.00 161.00 49.00 2.72 -9.03
9 8.00 159.00 73.00 -5.53 -8.50
9 9.00 176.00 65.00 -9.58 -1.19
9 10.00 118.00 nan -7.43 7.40
10 0.00 131.00 54.00 -0.20 0.53
10 1.00 189.00 34.00 -9.92 1.70
10 2.00 152.00 44.00 -10.14 -0.22
10 3.00 251.00 nan -9.40 3.69
11 0.00 130.00 58.00 -0.33 0.06
11 1.00 244.00 40.00 -10.38 1.80
11 2.00 161.00 226.00 -9.93 -1.76
11 3.00 115.00 50.00 -7.65 9.99
11 4.00 154.00 41.00 -1.77 10.14
11 5.00 138.00 48.00 3.21 9.97
11 6.00 153.00 59.00 7.54 7.53
11 7.00 179.00 42.00 9.84 2.57
11 8.00 169.00 40.00 10.18 -1.88
11 9.00 174.00 52.00 7.56 -5.81
11 10.00 151.00 51.00 2.60 -8.35
11 11.00 168.00 nan -3.22 -9.19
12 0.00 145.00 52.00 -0.17 0.17
12 1.00 126.00 39.00 -9.19 -0.94
12 2.00 137.00 61.00 -9.11 -3.20
12 3.00 155.00 46.00 -8.93 4.31
12 4.00 144.00 54.00 -3.69 9.07
12 5.00 210.00 55.00 3.88 9.40
12 6.00 187.00 52.00 9.08 5.32
12 7.00 177.00 56.00 9.98 -1.79
12 8.00 139.00 47.00 4.75 -7.74
12 9.00 166.00 nan -3.20 -9.20
13 0.00 133.00 62.00 -0.29 0.18
13 1.00 170.00 63.00 -9.73 1.50
13 2.00 116.00 46.00 -6.84 6.40
13 3.00 101.00 43.00 -4.43 9.17
13 4.00 161.00 43.00 1.19 10.15
13 5.00 162.00 49.00 5.81 8.88
13 6.00 185.00 45.00 9.09 5.37
13 7.00 161.00 47.00 10.01 0.87
13 8.00 145.00 40.00 8.69 -4.07
13 9.00 156.00 41.00 4.60 -7.91
13 10.00 354.00 52.00 -0.48 -9.28
13 11.00 123.00 45.00 5.08 -8.42
13 12.00 161.00 nan -0.60 -9.77
14 0.00 129.00 57.00 -0.22 0.11
14 1.00 220.00 56.00 -9.95 -1.35
14 2.00 133.00 54.00 -9.35 4.99
14 3.00 128.00 53.00 -2.75 9.80
14 4.00 176.00 57.00 4.82 9.07
14 5.00 164.00 67.00 9.53 3.60
14 6.00 188.00 54.00 9.18 -3.63
14 7.00 301.00 46.00 4.02 -8.25
14 8.00 196.00 51.00 -3.60 -9.25
14 9.00 264.00 nan 4.07 -8.88
15 0.00 138.00 59.00 -0.12 0.07
15 1.00 167.00 74.00 -9.28 3.85
15 2.00 274.00 80.00 -3.72 -8.48
15 3.00 197.00 75.00 9.09 -2.35
15 4.00 206.00 65.00 3.57 9.52
15 5.00 298.00 nan -9.34 4.93
16 0.00 129.00 57.00 -0.13 0.21
16 1.00 200.00 38.00 -10.45 1.13
16 2.00 124.00 63.00 -10.17 -1.32
16 3.00 425.00 nan -7.32 7.04
17 0.00 140.00 60.00 -0.18 0.09
17 1.00 154.00 77.00 -8.83 4.51
17 2.00 141.00 77.00 -5.96 -7.59
17 3.00 166.00 69.00 9.50 -4.33
17 4.00 194.00 81.00 5.93 8.53
17 5.00 131.00 nan -8.98 5.95
18 0.00 138.00 53.00 -0.27 0.05
18 1.00 165.00 37.00 -9.58 0.13
18 2.00 137.00 45.00 -10.03 -2.00
18 3.00 144.00 51.00 -6.87 -7.95
18 4.00 145.00 50.00 -1.48 -9.63
18 5.00 129.00 65.00 4.13 -9.00
18 6.00 142.00 43.00 8.89 -4.60
18 7.00 138.00 59.00 10.09 -0.37
18 8.00 160.00 42.00 8.52 4.73
18 9.00 132.00 41.00 5.37 8.35
18 10.00 127.00 40.00 0.74 9.87
18 11.00 143.00 45.00 -3.21 10.11
18 12.00 188.00 47.00 -8.07 7.11
18 13.00 182.00 nan -10.22 2.91
19 0.00 131.00 56.00 -0.21 0.36
19 1.00 167.00 60.00 -10.11 0.27
19 2.00 124.00 60.00 -8.27 6.62
19 3.00 157.00 48.00 -1.95 9.36
19 4.00 113.00 52.00 3.35 8.84
19 5.00 252.00 59.00 -2.29 9.18
19 6.00 105.00 nan -0.20 2.43
20 0.00 133.00 52.00 0.02 0.40
20 1.00 131.00 75.00 -9.32 -0.73
20 2.00 273.00 80.00 -3.69 7.99
20 3.00 152.00 28.00 -9.05 -1.73
20 4.00 277.00 nan -9.05 -2.19
21 0.00 147.00 73.00 -9.71 1.23
21 1.00 309.00 nan -1.25 -9.82
22 0.00 138.00 56.00 0.19 -0.09
22 1.00 142.00 75.00 -9.68 0.49
22 2.00 135.00 80.00 -0.98 -9.06
22 3.00 141.00 63.00 9.53 0.70
22 4.00 197.00 73.00 1.02 10.21
22 5.00 131.00 nan 1.32 2.15
23 0.00 147.00 53.00 -0.09 0.41
23 1.00 174.00 180.00 -9.15 1.48
23 2.00 124.00 160.00 4.15 9.04
23 3.00 331.00 nan 8.53 5.82
24 0.00 133.00 55.00 0.10 0.41
24 1.00 192.00 54.00 -9.36 1.23
24 2.00 120.00 55.00 -8.75 -3.91
24 3.00 137.00 54.00 -3.69 -8.44
24 4.00 147.00 73.00 2.89 -8.46
24 5.00 150.00 61.00 9.78 -2.46
24 6.00 116.00 64.00 10.29 1.78
24 7.00 108.00 53.00 7.27 7.05
24 8.00 151.00 45.00 1.74 10.18
24 9.00 167.00 46.00 -4.08 9.99
24 10.00 177.00 41.00 -9.10 5.60
24 11.00 406.00 nan -10.51 0.42
25 0.00 139.00 53.00 -0.06 0.49
25 1.00 224.00 64.00 -9.61 0.63
25 2.00 152.00 59.00 -5.48 8.92
25 3.00 170.00 49.00 0.30 10.40
25 4.00 159.00 46.00 5.75 8.59
25 5.00 176.00 47.00 8.78 6.01
25 6.00 163.00 43.00 9.97 1.39
25 7.00 154.00 43.00 9.11 -3.84
25 8.00 167.00 52.00 5.58 -7.31
25 9.00 140.00 nan 0.39 -8.88
26 0.00 134.00 55.00 0.03 0.17
26 1.00 125.00 37.00 -8.93 -0.41
26 2.00 118.00 55.00 -9.33 -3.27
26 3.00 155.00 55.00 -3.47 -8.52
26 4.00 160.00 63.00 4.74 -7.90
26 5.00 146.00 66.00 8.98 -3.54
26 6.00 136.00 56.00 8.88 5.03
26 7.00 160.00 56.00 2.58 9.50
26 8.00 159.00 50.00 -4.16 9.67
26 9.00 187.00 nan -9.63 5.44
27 0.00 145.00 58.00 -0.09 0.20
27 1.00 166.00 78.00 -8.83 2.77
27 2.00 121.00 83.00 -4.38 -8.07
27 3.00 143.00 73.00 8.78 -2.74
27 4.00 230.00 nan 3.95 8.04
28 0.00 143.00 57.00 -0.10 0.11
