# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 196.00 21.00 0.14 -0.40
1 1.00 228.00 0.00 -11.17 -2.01
1 2.00 308.00 11.00 -11.57 -1.27
1 3.00 272.00 0.00 -9.90 -5.87
1 4.00 304.00 16.00 -10.38 -5.87
1 5.00 106.00 0.00 -6.58 -9.27
1 6.00 218.00 10.00 -6.31 -9.51
1 7.00 476.00 0.00 -1.33 -11.17
1 8.00 219.00 10.00 -1.87 -11.45
1 9.00 237.00 0.00 4.30 -10.35
1 10.00 191.00 7.00 3.43 -10.78
1 11.00 134.00 0.00 7.69 -7.97
1 12.00 442.00 10.00 7.64 -7.45
1 13.00 319.00 57.00 9.21 -1.71
1 14.00 119.00 0.00 8.48 2.54
1 15.00 426.00 7.00 7.96 3.29
1 16.00 307.00 0.00 5.16 6.28
1 17.00 519.00 8.00 4.59 6.70
1 18.00 300.00 0.00 -0.04 8.60
1 19.00 204.00 0.00 -0.73 8.42
1 20.00 131.00 2.00 1.67 7.71
1 21.00 111.00 16.00 3.63 7.27
1 22.00 232.00 0.00 -4.40 6.57
1 23.00 302.00 5.00 -5.54 6.53
1 24.00 172.00 0.00 -8.42 4.08
1 25.00 362.00 10.00 -9.82 3.65
1 26.00 591.00 23.00 -11.97 -0.56
1 27.00 228.00 0.00 -9.97 -5.63
1 28.00 166.00 7.00 -10.25 -6.11
1 29.00 175.00 0.00 -7.68 -8.54
1 30.00 278.00 12.00 -6.84 -9.73
1 31.00 155.00 0.00 -2.27 -11.28
1 32.00 307.00 9.00 -1.77 -11.29
1 33.00 588.00 93.00 3.25 -10.61
1 34.00 496.00 9.00 7.03 -6.92
1 35.00 107.00 0.00 8.64 -3.38
1 36.00 891.00 0.00 9.06 -1.69
1 37.00 298.00 8.00 10.52 -1.43
1 38.00 137.00 0.00 9.05 2.11
1 39.00 411.00 0.00 8.26 3.34
1 40.00 617.00 6.00 7.62 3.63
1 41.00 248.00 0.00 5.16 5.90
1 42.00 314.00 4.00 4.21 6.24
1 43.00 330.00 0.00 0.74 7.34
1 44.00 439.00 10.00 -0.96 7.86
1 45.00 209.00 0.00 -4.23 6.98
1 46.00 638.00 6.00 -6.13 6.81
1 47.00 121.00 0.00 -3.26 7.62
1 48.00 445.00 7.00 -1.33 8.35
1 49.00 333.00 0.00 -4.89 7.02
1 50.00 614.00 44.00 -4.40 7.12
