# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 172.00 17.00 -0.61 -0.49
1 1.00 173.00 16.00 -8.74 -0.42
1 2.00 133.00 83.00 -6.92 5.96
1 3.00 107.00 97.00 9.78 1.87
1 4.00 245.00 38.00 4.55 8.09
1 5.00 243.00 11.00 1.81 -9.07
1 6.00 174.00 8.00 7.28 -7.09
1 7.00 110.00 102.00 9.60 -3.42
1 8.00 183.00 3.00 -6.89 -4.26
1 9.00 128.00 25.00 -7.35 -6.42
1 10.00 191.00 nan -6.08 5.90
2 0.00 186.00 20.00 -0.12 -0.61
2 1.00 165.00 31.00 -8.67 -4.02
2 2.00 149.00 25.00 4.30 -5.86
2 3.00 161.00 nan 9.45 3.51
3 0.00 113.00 18.00 -0.54 -0.46
3 1.00 205.00 7.00 -8.13 -3.55
3 2.00 155.00 23.00 -9.61 -0.05
3 3.00 147.00 71.00 -0.83 7.49
3 4.00 152.00 50.00 8.13 4.16
3 5.00 162.00 nan 8.96 -2.58
4 0.00 173.00 20.00 -0.49 -0.29
4 1.00 353.00 27.00 -4.49 -6.41
4 2.00 216.00 32.00 8.33 -5.10
4 3.00 186.00 8.00 5.00 7.08
4 4.00 102.00 0.00 8.53 4.20
4 5.00 256.00 nan 8.69 3.96
5 0.00 158.00 18.00 -7.59 -3.89
5 1.00 163.00 88.00 -1.60 -8.92
5 2.00 178.00 26.00 7.83 -1.64
5 3.00 224.00 nan 3.09 6.49
6 0.00 166.00 45.00 7.37 -7.21
6 1.00 141.00 29.00 -6.46 -7.11
6 2.00 207.00 16.00 -5.74 4.39
6 3.00 116.00 nan 0.20 -0.02
7 0.00 118.00 19.00 0.10 -0.59
7 1.00 124.00 22.00 -7.65 -2.79
7 2.00 163.00 138.00 1.79 -8.82
7 3.00 154.00 nan -0.11 8.07
8 0.00 183.00 48.00 0.06 -0.41
8 1.00 121.00 0.00 7.60 -4.52
8 2.00 137.00 26.00 7.51 -4.57
8 3.00 249.00 31.00 -3.95 -9.07
8 4.00 149.00 nan -7.21 1.27
9 0.00 195.00 17.00 0.11 -0.66
9 1.00 151.00 17.00 -4.35 -5.03
9 2.00 136.00 34.00 2.52 -8.30
9 3.00 163.00 15.00 -1.42 5.54
9 4.00 106.00 0.00 -0.13 0.40
9 5.00 319.00 nan -0.21 -0.19
10 0.00 187.00 19.00 0.14 -0.66
10 1.00 197.00 33.00 -3.27 -7.31
10 2.00 177.00 13.00 10.21 0.21
10 3.00 155.00 17.00 7.11 5.79
10 4.00 173.00 29.00 1.80 8.96
10 5.00 273.00 nan -7.91 1.12
11 nan nan nan nan nan
12 0.00 296.00 26.00 -0.29 -0.64
12 1.00 230.00 29.00 -0.99 -9.17
12 2.00 151.00 31.00 9.67 -3.04
12 3.00 176.00 31.00 3.04 9.18
12 4.00 307.00 20.00 -8.74 1.03
12 5.00 149.00 nan 0.63 1.57
13 0.00 243.00 24.00 -0.38 -0.61
13 1.00 180.00 31.00 -2.89 -7.10
13 2.00 261.00 29.00 4.11 6.76
13 3.00 107.00 0.00 8.53 -5.30
13 4.00 280.00 37.00 8.42 -4.90
13 5.00 116.00 0.00 -1.39 -1.45
13 6.00 148.00 nan -1.54 -1.26
14 0.00 255.00 20.00 -0.28 -0.55
14 1.00 221.00 29.00 -1.13 -7.90
14 2.00 186.00 18.00 10.57 1.92
14 3.00 574.00 nan 9.01 -4.74
15 0.00 170.00 21.00 0.19 -0.31
15 1.00 133.00 0.00 0.87 -8.37
15 2.00 136.00 26.00 0.75 -8.45
15 3.00 165.00 31.00 10.43 -0.91
15 4.00 263.00 23.00 0.97 9.61
15 5.00 334.00 24.00 1.22 2.01
15 6.00 200.00 nan -6.60 0.87
16 0.00 231.00 15.00 -0.37 -0.37
16 1.00 112.00 73.00 -3.73 -4.51
16 2.00 216.00 24.00 8.35 1.01
16 3.00 226.00 31.00 1.02 8.18
16 4.00 187.00 0.00 7.59 -5.35
16 5.00 134.00 31.00 7.64 -5.45
16 6.00 264.00 0.00 -6.94 -0.12
16 7.00 106.00 nan -6.85 0.03
17 nan nan nan nan nan
18 0.00 235.00 15.00 -0.21 -0.61
18 1.00 150.00 23.00 2.54 -5.12
18 2.00 189.00 10.00 5.01 -7.47
18 3.00 151.00 8.00 9.32 -4.60
18 4.00 125.00 12.00 9.91 0.00
18 5.00 146.00 9.00 7.52 4.43
18 6.00 216.00 0.00 4.70 7.45
18 7.00 476.00 nan 3.77 8.54
19 0.00 250.00 21.00 -0.39 -0.33
19 1.00 170.00 18.00 -3.51 -6.02
19 2.00 209.00 6.00 3.36 -8.67
19 3.00 434.00 23.00 6.42 -7.88
19 4.00 165.00 13.00 2.97 -9.86
19 5.00 209.00 nan 8.19 -5.50
20 0.00 185.00 48.00 1.49 -3.04
20 1.00 111.00 0.00 7.16 -7.00
20 2.00 201.00 34.00 7.30 -7.09
20 3.00 164.00 76.00 -2.70 8.59
20 4.00 288.00 0.00 -4.91 7.57
20 5.00 266.00 nan -3.98 8.27
21 0.00 235.00 22.00 -0.20 -0.63
21 1.00 305.00 68.00 -0.86 -8.87
21 2.00 109.00 0.00 -9.03 2.43
21 3.00 126.00 32.00 -9.21 2.15
21 4.00 178.00 9.00 8.48 -0.61
21 5.00 193.00 14.00 8.73 3.28
21 6.00 204.00 40.00 3.07 7.91
21 7.00 250.00 49.00 -8.79 -5.92
21 8.00 150.00 nan 4.06 -9.34
22 0.00 225.00 33.00 -0.24 -0.07
22 1.00 207.00 42.00 -0.96 -7.36
22 2.00 220.00 52.00 0.27 10.67
22 3.00 128.00 nan 5.08 8.05
23 0.00 246.00 20.00 -0.69 -0.61
23 1.00 194.00 32.00 -7.63 -3.98
23 2.00 166.00 37.00 -2.36 8.23
23 3.00 174.00 23.00 -7.11 5.96
23 4.00 146.00 60.00 -9.41 0.57
23 5.00 197.00 13.00 8.05 -5.18
23 6.00 123.00 71.00 10.58 -0.01
23 7.00 170.00 18.00 6.88 6.06
23 8.00 142.00 92.00 -0.18 10.33
23 9.00 218.00 nan -0.56 -7.10
24 nan nan nan nan nan
25 0.00 230.00 15.00 -0.51 -0.69
25 1.00 232.00 29.00 -6.35 2.61
25 2.00 224.00 31.00 6.72 6.16
25 3.00 237.00 nan 4.44 -6.43
26 0.00 227.00 23.00 -0.57 -1.04
26 1.00 182.00 39.00 -2.49 -9.64
26 2.00 242.00 18.00 -1.40 8.34
26 3.00 117.00 0.00 -7.76 4.41
26 4.00 141.00 0.00 -7.56 4.31
26 5.00 336.00 0.00 -8.46 2.45
26 6.00 179.00 nan -7.95 3.15
27 0.00 258.00 18.00 -0.05 -0.50
27 1.00 184.00 8.00 -7.26 3.08
27 2.00 175.00 15.00 -4.34 7.19
27 3.00 183.00 3.00 2.94 7.39
27 4.00 120.00 85.00 5.52 7.38
27 5.00 144.00 40.00 2.51 8.33
27 6.00 453.00 nan 5.27 7.37
28 0.00 215.00 18.00 -0.59 -0.32
28 1.00 152.00 23.00 -3.34 -5.60
28 2.00 422.00 nan -8.99 3.06
29 0.00 221.00 16.00 -0.02 -0.20
29 1.00 187.00 10.00 -7.93 -0.91
29 2.00 206.00 11.00 -8.01 -4.69
29 3.00 112.00 0.00 -6.51 -7.08
29 4.00 136.00 nan -6.56 -7.18
30 0.00 346.00 25.00 -0.01 0.01
30 1.00 121.00 0.00 -5.78 -5.57
30 2.00 124.00 24.00 -5.93 -5.76
30 3.00 172.00 28.00 5.62 -4.93
30 4.00 134.00 0.00 -8.54 -1.94
