# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 102.00 544.00 -8.76 -0.41
1 1.00 140.00 75.00 4.53 8.19
1 2.00 206.00 45.00 1.79 -9.13
1 3.00 143.00 41.00 7.37 -7.05
1 4.00 145.00 69.00 9.76 -3.19
1 5.00 151.00 200.00 -7.03 -4.24
1 6.00 141.00 nan -6.12 6.07
2 0.00 124.00 64.00 -8.75 -4.01
2 1.00 117.00 nan 4.34 -5.87
3 0.00 169.00 275.00 -8.18 -3.54
3 1.00 110.00 58.00 -0.67 7.52
3 2.00 148.00 nan 8.25 4.17
4 0.00 316.00 60.00 -4.50 -6.40
4 1.00 186.00 84.00 8.36 -5.10
4 2.00 131.00 47.00 4.99 7.14
4 3.00 320.00 nan 8.67 3.99
5 0.00 128.00 146.00 -1.57 -8.94
5 1.00 123.00 71.00 7.87 -1.67
5 2.00 180.00 nan 3.07 6.55
6 0.00 109.00 96.00 -6.50 -7.10
6 1.00 138.00 nan -5.75 4.44
7 0.00 130.00 nan 1.82 -8.84
8 0.00 167.00 180.00 0.05 -0.46
8 1.00 129.00 60.00 7.51 -4.55
8 2.00 217.00 nan -4.00 -9.08
9 0.00 178.00 53.00 0.10 -0.64
9 1.00 117.00 559.00 -4.38 -5.06
9 2.00 122.00 nan -0.23 0.20
10 0.00 171.00 59.00 0.14 -0.65
10 1.00 160.00 267.00 -3.29 -7.34
10 2.00 112.00 nan 7.09 5.88
11 nan nan nan nan nan
12 0.00 272.00 70.00 -0.28 -0.61
12 1.00 196.00 532.00 -1.02 -9.19
12 2.00 111.00 nan -8.80 0.98
13 0.00 227.00 283.00 -0.37 -0.60
13 1.00 216.00 71.00 4.10 6.81
13 2.00 347.00 113.00 8.43 -5.02
13 3.00 185.00 nan -1.50 -1.28
14 0.00 233.00 64.00 -0.27 -0.55
14 1.00 185.00 76.00 -1.17 -7.92
14 2.00 137.00 56.00 10.59 1.92
14 3.00 371.00 4.00 9.00 -4.79
14 4.00 202.00 nan 9.05 -4.70
15 0.00 152.00 63.00 0.18 -0.30
15 1.00 229.00 555.00 0.77 -8.43
15 2.00 250.00 102.00 1.21 2.00
15 3.00 180.00 nan -6.68 0.85
16 0.00 109.00 53.00 -0.34 -0.38
16 1.00 122.00 64.00 -3.78 -4.59
16 2.00 128.00 380.00 8.30 1.04
16 3.00 147.00 7.00 7.58 -5.44
16 4.00 121.00 230.00 7.62 -5.47
16 5.00 173.00 nan -6.88 0.01
17 nan nan nan nan nan
18 0.00 110.00 160.00 -0.28 -0.64
18 1.00 131.00 49.00 2.54 -5.18
18 2.00 150.00 45.00 5.03 -7.50
18 3.00 116.00 193.00 9.36 -4.56
18 4.00 101.00 92.00 7.52 4.52
18 5.00 132.00 128.00 4.67 7.49
18 6.00 201.00 nan 3.70 8.51
19 0.00 233.00 88.00 -0.39 -0.32
19 1.00 106.00 52.00 -3.54 -6.06
19 2.00 180.00 38.00 3.39 -8.68
19 3.00 413.00 229.00 6.45 -7.88
19 4.00 183.00 nan 8.21 -5.43
20 0.00 143.00 87.00 1.51 -3.06
20 1.00 273.00 315.00 7.28 -7.08
20 2.00 250.00 67.00 -4.94 7.55
20 3.00 217.00 nan -4.01 8.34
21 0.00 218.00 61.00 -0.20 -0.61
21 1.00 268.00 375.00 -0.89 -8.88
21 2.00 143.00 45.00 8.54 -0.62
21 3.00 156.00 293.00 8.74 3.37
21 4.00 217.00 nan -8.86 -5.96
22 0.00 104.00 185.00 -0.28 -0.11
22 1.00 164.00 355.00 -1.01 -7.35
22 2.00 161.00 nan 5.18 8.18
23 0.00 136.00 55.00 -0.61 -0.61
23 1.00 162.00 89.00 -7.66 -3.99
23 2.00 112.00 495.00 -2.35 8.32
23 3.00 148.00 46.00 8.04 -5.11
23 4.00 129.00 282.00 10.66 0.22
23 5.00 135.00 80.00 -0.47 10.35
23 6.00 189.00 nan -0.65 -7.22
24 nan nan nan nan nan
25 0.00 212.00 651.00 -0.49 -0.69
25 1.00 123.00 nan 4.48 -6.44
26 0.00 209.00 75.00 -0.57 -1.03
26 1.00 126.00 106.00 -2.54 -9.68
26 2.00 123.00 164.00 -1.40 8.38
26 3.00 119.00 97.00 -7.69 4.26
26 4.00 108.00 67.00 -8.47 2.42
26 5.00 116.00 35.00 -8.49 2.44
26 6.00 108.00 nan -7.95 3.15
27 0.00 237.00 449.00 -0.04 -0.50
27 1.00 144.00 427.00 3.00 7.39
27 2.00 102.00 117.00 5.25 7.30
27 3.00 201.00 nan 5.38 7.43
28 0.00 198.00 54.00 -0.59 -0.31
28 1.00 117.00 nan -3.39 -5.66
29 0.00 172.00 45.00 -8.03 -4.73
29 1.00 228.00 nan -6.52 -7.18
30 0.00 249.00 118.00 0.02 -0.01
30 1.00 208.00 60.00 -5.90 -5.69
30 2.00 136.00 68.00 5.67 -4.95
30 3.00 161.00 203.00 -8.64 -1.89
30 4.00 128.00 93.00 -5.43 -8.87
30 5.00 112.00 75.00 -3.60 7.54
30 6.00 166.00 69.00 6.52 7.83
30 7.00 115.00 94.00 11.27 0.85
30 8.00 129.00 nan 5.01 -7.89
31 0.00 169.00 59.00 -0.37 -0.22
31 1.00 222.00 64.00 -6.52 -5.68
31 2.00 135.00 nan 6.74 -7.00
32 0.00 212.00 68.00 -7.12 -4.60
32 1.00 158.00 81.00 7.69 -3.96
32 2.00 118.00 nan -8.36 -1.55
33 0.00 154.00 232.00 -0.31 -1.02
33 1.00 140.00 59.00 -7.98 -3.18
33 2.00 174.00 60.00 1.88 -9.40
33 3.00 173.00 69.00 9.82 -2.77
33 4.00 324.00 60.00 3.49 6.68
33 5.00 102.00 nan 2.76 0.23
34 0.00 170.00 661.00 -0.38 -0.93
34 1.00 209.00 nan 5.16 7.48
35 0.00 206.00 369.00 0.12 -0.56
35 1.00 139.00 60.00 6.14 -1.11
35 2.00 198.00 83.00 8.12 4.16
35 3.00 270.00 66.00 -5.44 7.93
35 4.00 218.00 nan 6.72 5.86
36 0.00 115.00 46.00 -0.11 -0.50
36 1.00 110.00 310.00 -2.72 -1.62
36 2.00 184.00 320.00 1.77 8.57
36 3.00 106.00 160.00 1.72 8.86
36 4.00 169.00 nan 7.33 6.00
37 0.00 214.00 64.00 0.02 -0.42
37 1.00 280.00 483.00 -2.34 -8.06
37 2.00 117.00 476.00 -4.90 5.94
37 3.00 104.00 278.00 10.58 -3.24
37 4.00 108.00 nan -0.92 -4.94
38 0.00 137.00 56.00 -0.14 -0.46
38 1.00 130.00 491.00 -6.02 -5.26
38 2.00 133.00 541.00 5.82 -8.49
38 3.00 118.00 nan -6.71 5.37
39 0.00 168.00 273.00 -0.26 -0.75
39 1.00 118.00 196.00 -3.96 -8.88
39 2.00 122.00 161.00 7.98 -5.70
39 3.00 203.00 nan 1.66 6.63
40 0.00 174.00 63.00 -0.38 -0.43
40 1.00 225.00 nan -7.49 -2.67
41 0.00 112.00 346.00 -8.04 -2.71
41 1.00 192.00 nan 9.92 -3.77
42 0.00 213.00 126.00 -0.38 -0.35
42 1.00 156.00 55.00 -8.41 -0.99
42 2.00 158.00 393.00 -4.40 -7.87
42 3.00 126.00 60.00 6.46 6.73
42 4.00 158.00 221.00 11.03 0.31
42 5.00 103.00 nan 1.95 -9.65
43 0.00 191.00 59.00 -0.22 -0.10
43 1.00 230.00 88.00 -4.31 -7.22
43 2.00 101.00 441.00 -1.99 8.25
43 3.00 133.00 nan 9.64 -3.76
44 0.00 170.00 334.00 -0.10 -0.43
44 1.00 186.00 245.00 9.45 -5.06
44 2.00 139.00 134.00 -6.08 6.46
44 3.00 149.00 104.00 2.55 7.41
44 4.00 210.00 64.00 -9.77 -3.83
44 5.00 132.00 nan 2.81 -6.78
45 0.00 176.00 66.00 -0.08 -0.46
45 1.00 164.00 270.00 -4.98 -5.54
45 2.00 146.00 239.00 -6.88 5.57
45 3.00 105.00 441.00 2.81 7.93
45 4.00 193.00 617.00 7.67 -8.13
45 5.00 117.00 nan -2.24 -10.57
46 0.00 206.00 84.00 -2.70 -8.25
46 1.00 200.00 nan 1.81 7.19
47 0.00 175.00 767.00 -0.41 -0.84
47 1.00 259.00 76.00 7.42 -8.20
47 2.00 183.00 nan 9.67 -5.22
48 0.00 106.00 399.00 1.90 -8.87
48 1.00 104.00 106.00 0.15 8.06
48 2.00 106.00 58.00 -8.47 1.86
48 3.00 201.00 nan -8.42 -5.12
49 0.00 102.00 571.00 -0.54 -0.61
49 1.00 113.00 55.00 -5.94 6.26
49 2.00 177.00 nan -0.01 0.46
50 0.00 179.00 98.00 -0.50 -0.60
50 1.00 156.00 807.00 -1.73 -8.57
50 2.00 184.00 68.00 -7.64 4.61
50 3.00 106.00 nan -8.74 -2.32
51 0.00 119.00 90.00 0.06 -0.42
51 1.00 134.00 271.00 -6.54 -3.79
51 2.00 177.00 nan 10.07 0.21
52 0.00 263.00 303.00 0.28 -0.46
52 1.00 130.00 215.00 -7.26 -1.48
52 2.00 107.00 86.00 0.91 10.27
52 3.00 122.00 nan 2.17 -11.26
53 0.00 227.00 67.00 0.02 -0.62
53 1.00 108.00 187.00 0.21 -10.28
53 2.00 135.00 130.00 -6.66 3.85
53 3.00 103.00 106.00 8.22 -0.04
53 4.00 155.00 nan -9.14 -1.44
54 0.00 189.00 337.00 -0.22 -0.75
54 1.00 149.00 86.00 7.02 -8.21
54 2.00 121.00 202.00 9.17 2.64
54 3.00 140.00 73.00 0.75 9.29
54 4.00 167.00 nan -5.07 0.93
55 0.00 108.00 445.00 -4.46 -6.53
55 1.00 177.00 68.00 2.50 8.04
55 2.00 116.00 27.00 0.97 8.22
55 3.00 149.00 nan 1.09 8.41
56 0.00 156.00 123.00 -0.25 -0.63
56 1.00 112.00 44.00 1.99 -6.17
56 2.00 111.00 351.00 2.15 -10.29
56 3.00 125.00 nan -9.27 -2.84
57 0.00 163.00 544.00 -0.35 -0.50
57 1.00 114.00 137.00 0.66 8.23
57 2.00 130.00 82.00 -6.53 6.40
57 3.00 287.00 447.00 6.97 6.67
57 4.00 287.00 nan 1.69 9.29
58 0.00 122.00 57.00 -0.15 -0.24
58 1.00 112.00 569.00 -4.00 -5.86
58 2.00 150.00 nan -7.78 -0.82
59 0.00 204.00 700.00 -0.40 -0.64
59 1.00 112.00 65.00 -8.33 1.36
59 2.00 131.00 537.00 -5.60 7.36
59 3.00 101.00 186.00 8.90 4.57
59 4.00 141.00 nan 5.53 7.91
60 0.00 185.00 119.00 -0.32 0.72
60 1.00 103.00 126.00 3.56 -6.44
60 2.00 122.00 494.00 5.83 -7.31
60 3.00 108.00 176.00 -1.01 -2.58
60 4.00 121.00 309.00 7.68 4.83
60 5.00 104.00 179.00 6.36 -8.84
60 6.00 132.00 182.00 -6.53 -7.16
60 7.00 331.00 611.00 5.10 -8.91
60 8.00 177.00 nan -6.39 6.96
61 0.00 124.00 103.00 -0.78 -1.01
61 1.00 136.00 67.00 -2.95 -9.45
61 2.00 146.00 446.00 -8.98 -4.40
61 3.00 202.00 nan -6.00 -8.19
62 0.00 129.00 233.00 -0.19 -0.60
62 1.00 311.00 108.00 -7.44 -6.16
62 2.00 187.00 465.00 -3.25 -9.70
62 3.00 191.00 nan -9.13 -1.99
63 nan nan nan nan nan
64 0.00 164.00 nan 0.31 -9.69
65 0.00 159.00 63.00 -0.28 -0.43
65 1.00 117.00 281.00 -2.02 -8.55
65 2.00 135.00 102.00 -5.37 -8.16
65 3.00 147.00 115.00 7.66 -7.34
65 4.00 290.00 55.00 0.90 -10.56
65 5.00 119.00 102.00 -6.24 -7.60
65 6.00 249.00 nan 8.23 -6.90
66 0.00 115.00 143.00 -0.20 -0.41
66 1.00 120.00 60.00 -7.58 -3.82
66 2.00 179.00 70.00 -2.85 -9.18
66 3.00 134.00 459.00 6.69 -8.19
66 4.00 116.00 97.00 -5.84 7.38
66 5.00 143.00 135.00 9.18 2.35
66 6.00 140.00 nan 8.70 -4.79
67 0.00 104.00 268.00 -0.10 -0.10
67 1.00 109.00 nan -2.52 -8.78
68 0.00 175.00 232.00 0.02 -0.50
68 1.00 102.00 107.00 -0.72 -9.53
68 2.00 112.00 293.00 9.26 -3.85
68 3.00 158.00 481.00 5.07 7.38
68 4.00 102.00 118.00 1.38 9.25
68 5.00 127.00 nan 10.79 -2.23
69 0.00 175.00 522.00 8.91 -4.39
69 1.00 124.00 nan 11.34 -1.29
70 0.00 101.00 5.00 -0.07 -0.37
70 1.00 104.00 728.00 -0.16 -0.28
70 2.00 143.00 38.00 8.83 -7.01
70 3.00 174.00 nan 9.26 -5.73
71 0.00 126.00 97.00 -0.08 -0.69
71 1.00 140.00 323.00 -3.74 -8.32
71 2.00 151.00 nan 5.56 -9.07
72 0.00 168.00 nan 6.08 -1.40
73 0.00 125.00 174.00 -7.69 -0.79
73 1.00 111.00 nan -0.04 7.60
74 0.00 163.00 52.00 0.27 -9.67
74 1.00 107.00 77.00 5.26 -9.25
74 2.00 145.00 nan -2.60 -9.64
75 0.00 119.00 nan 4.58 -1.88
76 0.00 168.00 60.00 -2.44 -9.09
76 1.00 132.00 104.00 6.44 -7.93
76 2.00 138.00 119.00 1.69 9.24
76 3.00 137.00 nan -7.81 1.10
77 0.00 105.00 382.00 8.21 -7.85
77 1.00 117.00 171.00 2.40 5.08
77 2.00 111.00 nan 6.30 6.53
78 0.00 143.00 303.00 -0.22 -0.12
78 1.00 122.00 nan 0.92 -9.17
79 0.00 228.00 751.00 -0.26 -0.10
79 1.00 124.00 nan 1.66 11.02
80 0.00 146.00 1440.00 -0.48 -0.15
80 1.00 137.00 1101.00 7.02 -6.80
80 2.00 119.00 nan 0.70 -8.72
81 0.00 139.00 899.00 -4.59 -8.19
81 1.00 138.00 90.00 9.57 2.81
81 2.00 155.00 nan 9.49 -3.79
82 0.00 141.00 250.00 7.66 -6.40
82 1.00 116.00 619.00 0.71 9.13
82 2.00 134.00 46.00 9.27 -3.60
82 3.00 137.00 nan 7.90 -5.23
83 nan nan nan nan nan
84 0.00 139.00 103.00 -1.84 -2.44
84 1.00 140.00 1002.00 -4.40 -7.20
84 2.00 127.00 316.00 3.89 8.71
84 3.00 108.00 56.00 -8.58 3.66
84 4.00 105.00 nan -9.57 -0.63
85 0.00 182.00 nan 3.48 1.79
86 0.00 112.00 nan -5.00 -8.44
87 0.00 230.00 776.00 -2.29 -8.24
87 1.00 106.00 160.00 4.04 8.01
87 2.00 151.00 259.00 10.58 1.87
87 3.00 108.00 nan 5.83 -8.40
88 0.00 128.00 nan -2.36 -9.62
89 0.00 101.00 88.00 -3.54 -3.85
89 1.00 110.00 82.00 2.58 -9.60
89 2.00 139.00 nan -1.88 2.59
90 0.00 113.00 987.00 -0.55 -0.25
90 1.00 103.00 408.00 -2.79 8.41
90 2.00 112.00 61.00 3.67 8.46
90 3.00 204.00 nan 10.00 -1.88
91 0.00 110.00 104.00 -3.29 8.26
91 1.00 202.00 340.00 -7.34 6.51
91 2.00 102.00 nan -3.72 8.23
92 0.00 109.00 nan -5.61 -2.85
93 0.00 106.00 nan 7.10 6.43
