# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 158.00 59.00 0.98 -0.72
1 1.00 312.00 65.00 -7.86 2.21
1 2.00 246.00 141.00 -3.82 -11.45
1 3.00 393.00 77.00 11.28 -5.46
1 4.00 165.00 20.00 5.86 7.39
1 5.00 216.00 72.00 5.10 7.77
1 6.00 111.00 26.00 -8.90 2.79
1 7.00 231.00 nan -9.01 1.63
2 0.00 140.00 58.00 1.01 -0.51
2 1.00 590.00 67.00 -10.53 2.96
2 2.00 233.00 160.00 -3.96 -12.00
2 3.00 171.00 20.00 10.30 -5.07
2 4.00 573.00 76.00 9.14 -4.61
2 5.00 102.00 32.00 4.62 9.60
2 6.00 120.00 nan 4.09 8.11
3 0.00 138.00 178.00 0.41 -0.81
3 1.00 483.00 54.00 -10.99 -1.01
3 2.00 144.00 26.00 -6.45 -10.33
3 3.00 190.00 53.00 -7.93 -9.90
3 4.00 292.00 53.00 -1.06 -11.80
3 5.00 405.00 54.00 7.84 -8.00
3 6.00 131.00 29.00 10.17 -1.88
3 7.00 919.00 nan 9.55 -0.32
4 0.00 155.00 59.00 0.76 -0.79
4 1.00 472.00 50.00 -10.72 1.62
4 2.00 286.00 55.00 -9.77 -6.33
4 3.00 364.00 53.00 -3.46 -11.82
4 4.00 285.00 54.00 5.02 -10.56
4 5.00 204.00 20.00 10.20 -4.37
4 6.00 140.00 57.00 9.10 -4.01
4 7.00 896.00 nan 8.23 3.80
5 0.00 137.00 57.00 0.68 -0.76
5 1.00 107.00 37.00 -9.97 1.20
5 2.00 386.00 57.00 -9.72 3.60
5 3.00 522.00 58.00 -10.87 -3.35
5 4.00 355.00 53.00 -5.91 -11.14
5 5.00 177.00 103.00 2.13 -11.59
5 6.00 537.00 63.00 -6.77 -10.91
5 7.00 169.00 nan -11.32 -3.69
6 0.00 150.00 59.00 0.41 -0.95
6 1.00 109.00 30.00 -8.27 3.87
6 2.00 420.00 64.00 -8.15 6.12
6 3.00 312.00 68.00 -8.42 -8.77
6 4.00 220.00 193.00 6.85 -8.91
6 5.00 111.00 28.00 6.30 7.12
6 6.00 350.00 nan 6.73 6.01
7 0.00 135.00 57.00 0.48 -0.65
7 1.00 129.00 23.00 -10.04 1.78
7 2.00 263.00 68.00 -11.36 1.82
7 3.00 361.00 72.00 -3.87 -12.23
7 4.00 171.00 25.00 10.45 -3.47
7 5.00 510.00 nan 9.22 -3.46
8 0.00 152.00 60.00 0.62 -0.99
8 1.00 167.00 17.00 -6.65 5.55
8 2.00 360.00 68.00 -7.68 6.33
8 3.00 169.00 26.00 -8.07 -8.15
8 4.00 322.00 65.00 -9.17 -8.31
8 5.00 324.00 76.00 5.44 -9.38
8 6.00 115.00 28.00 8.33 4.70
8 7.00 483.00 nan 6.94 5.20
9 0.00 153.00 59.00 0.55 -1.02
9 1.00 508.00 51.00 -11.15 1.76
9 2.00 413.00 43.00 -11.13 -3.92
9 3.00 344.00 44.00 -8.17 -8.67
9 4.00 172.00 25.00 -3.41 -11.27
9 5.00 232.00 46.00 -2.08 -11.61
9 6.00 344.00 42.00 4.28 -11.05
9 7.00 269.00 49.00 8.69 -8.75
9 8.00 296.00 53.00 11.38 -3.46
9 9.00 279.00 49.00 10.97 1.72
9 10.00 758.00 nan 8.12 5.73
10 0.00 156.00 59.00 0.24 -0.55
10 1.00 106.00 32.00 -10.31 1.61
10 2.00 154.00 30.00 -11.02 -0.74
10 3.00 295.00 53.00 -9.37 -1.50
10 4.00 675.00 nan -5.98 -9.49
11 0.00 138.00 58.00 0.42 -0.86
11 1.00 425.00 66.00 -8.85 2.29
11 2.00 154.00 31.00 -4.59 -12.85
11 3.00 238.00 64.00 -2.89 -12.06
11 4.00 152.00 23.00 10.60 -5.38
11 5.00 214.00 75.00 11.42 -4.65
11 6.00 484.00 nan 5.33 8.12
