# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 200.00 20.00 0.25 0.43
1 1.00 295.00 20.00 -8.57 -3.03
1 2.00 185.00 17.00 -6.29 -7.25
1 3.00 173.00 13.00 -1.22 -9.41
1 4.00 163.00 54.00 4.18 -8.57
1 5.00 236.00 21.00 8.19 -5.68
1 6.00 167.00 27.00 10.01 2.45
1 7.00 228.00 27.00 -0.16 9.92
1 8.00 232.00 20.00 -7.15 7.05
1 9.00 155.00 36.00 -9.66 2.93
1 10.00 240.00 22.00 7.51 8.46
1 11.00 211.00 20.00 10.34 2.76
1 12.00 132.00 31.00 10.43 -2.04
1 13.00 152.00 0.00 1.04 9.75
1 14.00 137.00 48.00 0.82 9.98
1 15.00 233.00 11.00 -9.46 -4.53
1 16.00 161.00 19.00 -6.57 -7.02
1 17.00 157.00 20.00 -0.64 -9.03
1 18.00 267.00 11.00 7.21 -6.04
1 19.00 167.00 nan 9.65 -2.59
2 0.00 184.00 22.00 0.25 0.09
2 1.00 171.00 36.00 -8.51 -4.41
2 2.00 195.00 35.00 4.75 -9.08
2 3.00 145.00 32.00 10.62 5.53
2 4.00 238.00 32.00 -5.04 9.45
2 5.00 124.00 30.00 9.99 6.66
2 6.00 163.00 nan 1.08 1.62
3 0.00 179.00 22.00 0.20 0.16
3 1.00 148.00 11.00 -8.70 -3.63
3 2.00 153.00 23.00 -7.47 -7.41
3 3.00 259.00 18.00 -0.18 -10.06
3 4.00 163.00 87.00 6.71 -7.75
3 5.00 156.00 0.00 10.16 -1.37
3 6.00 360.00 23.00 10.15 -0.97
3 7.00 109.00 0.00 -1.46 1.36
3 8.00 115.00 nan -1.33 1.37
4 0.00 232.00 21.00 0.28 0.49
4 1.00 192.00 28.00 -10.08 -0.73
4 2.00 205.00 18.00 -6.34 -7.41
4 3.00 149.00 10.00 -1.22 -9.00
4 4.00 171.00 0.00 3.97 -8.40
4 5.00 136.00 49.00 4.26 -8.24
4 6.00 150.00 19.00 -0.85 11.38
4 7.00 218.00 29.00 -7.12 8.36
4 8.00 287.00 32.00 7.14 8.25
4 9.00 155.00 0.00 0.27 2.36
4 10.00 133.00 nan 0.02 2.21
5 0.00 194.00 17.00 -0.07 0.56
5 1.00 176.00 8.00 -10.14 0.60
5 2.00 107.00 70.00 -9.77 -2.22
5 3.00 194.00 17.00 -7.15 -6.78
5 4.00 179.00 58.00 -2.77 -8.95
5 5.00 149.00 74.00 2.44 -8.76
5 6.00 165.00 95.00 7.23 -6.17
5 7.00 119.00 0.00 9.76 4.02
5 8.00 117.00 30.00 9.48 3.93
5 9.00 230.00 14.00 -5.06 9.40
5 10.00 214.00 19.00 2.48 9.85
5 11.00 194.00 42.00 7.94 7.24
5 12.00 234.00 20.00 -11.01 2.90
5 13.00 209.00 60.00 -10.33 -2.19
5 14.00 219.00 37.00 -7.64 -6.71
5 15.00 120.00 0.00 7.05 -7.27
5 16.00 228.00 12.00 7.58 -7.10
5 17.00 154.00 29.00 10.18 -1.17
5 18.00 219.00 56.00 -1.91 9.41
5 19.00 283.00 17.00 2.74 9.79
5 20.00 117.00 37.00 7.23 7.47
5 21.00 333.00 47.00 -8.69 7.37
5 22.00 224.00 nan -3.54 -1.34
6 0.00 194.00 19.00 -0.15 0.75
6 1.00 180.00 23.00 -10.74 0.70
6 2.00 188.00 29.00 -8.72 -5.72
6 3.00 207.00 20.00 -1.97 -9.37
6 4.00 211.00 14.00 6.49 -7.51
6 5.00 162.00 30.00 9.91 -1.33
6 6.00 191.00 19.00 -3.07 8.09
6 7.00 214.00 24.00 6.28 7.83
6 8.00 174.00 nan -5.84 8.16
7 0.00 199.00 18.00 -0.11 0.27
7 1.00 143.00 6.00 -10.33 -0.69
7 2.00 168.00 28.00 -9.79 -3.70
7 3.00 139.00 90.00 -3.68 -8.83
7 4.00 220.00 19.00 4.01 -9.08
7 5.00 250.00 33.00 9.44 -1.14
7 6.00 199.00 29.00 -2.58 8.29
7 7.00 395.00 29.00 9.61 4.43
7 8.00 198.00 nan -1.47 -0.10
8 0.00 190.00 19.00 0.03 0.49
8 1.00 188.00 4.00 -10.22 1.36
8 2.00 177.00 23.00 -10.08 -1.58
8 3.00 164.00 17.00 -7.62 -6.66
8 4.00 228.00 85.00 -1.81 -8.76
8 5.00 279.00 22.00 1.41 -9.24
8 6.00 185.00 0.00 -0.29 -0.04
8 7.00 254.00 nan 0.08 0.01
9 0.00 203.00 20.00 0.16 0.82
9 1.00 138.00 35.00 -10.14 1.09
9 2.00 197.00 30.00 -1.21 -8.65
9 3.00 193.00 26.00 10.55 0.13
9 4.00 317.00 39.00 0.78 10.30
9 5.00 120.00 91.00 -10.79 2.23
9 6.00 133.00 21.00 -1.04 -6.67
9 7.00 419.00 0.00 0.34 0.64
9 8.00 401.00 nan -0.36 0.73
10 0.00 165.00 20.00 0.31 1.22
10 1.00 174.00 33.00 -10.12 0.21
10 2.00 186.00 32.00 -0.19 -9.35
10 3.00 244.00 30.00 10.59 0.19
10 4.00 269.00 0.00 -1.45 0.80
10 5.00 165.00 nan -0.57 0.70
11 0.00 195.00 19.00 0.27 1.04
11 1.00 118.00 82.00 -9.27 -0.01
11 2.00 211.00 19.00 -4.23 -8.78
11 3.00 150.00 0.00 2.98 -8.93
11 4.00 199.00 16.00 2.83 -8.74
11 5.00 212.00 32.00 9.01 -3.13
