# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 184.00 53.00 0.26 0.43
1 1.00 267.00 50.00 -8.58 -3.05
1 2.00 158.00 48.00 -6.25 -7.29
1 3.00 143.00 43.00 -1.14 -9.42
1 4.00 175.00 41.00 4.29 -8.52
1 5.00 207.00 52.00 8.24 -5.66
1 6.00 139.00 62.00 9.99 2.58
1 7.00 199.00 54.00 -0.25 9.99
1 8.00 202.00 52.00 -7.23 6.96
1 9.00 121.00 64.00 -9.69 2.82
1 10.00 214.00 52.00 7.65 8.51
1 11.00 181.00 51.00 10.34 2.60
1 12.00 105.00 61.00 10.30 -2.25
1 13.00 255.00 85.00 0.85 10.02
1 14.00 197.00 48.00 -9.57 -4.67
1 15.00 130.00 49.00 -6.33 -7.15
1 16.00 127.00 48.00 -0.23 -9.13
1 17.00 241.00 39.00 7.48 -5.90
1 18.00 197.00 nan 9.85 -2.18
2 0.00 168.00 57.00 0.26 0.08
2 1.00 139.00 69.00 -8.53 -4.45
2 2.00 163.00 74.00 4.79 -9.08
2 3.00 109.00 73.00 10.60 5.61
2 4.00 195.00 222.00 -5.12 9.48
2 5.00 143.00 nan 1.05 1.59
3 0.00 163.00 57.00 0.22 0.16
3 1.00 119.00 42.00 -8.73 -3.65
3 2.00 124.00 52.00 -7.44 -7.47
3 3.00 229.00 49.00 -0.15 -10.07
3 4.00 204.00 50.00 6.80 -7.68
3 5.00 476.00 62.00 10.16 -1.05
3 6.00 206.00 nan -1.40 1.31
4 0.00 216.00 58.00 0.29 0.50
4 1.00 159.00 61.00 -10.11 -0.73
4 2.00 175.00 48.00 -6.32 -7.41
4 3.00 121.00 40.00 -1.15 -9.00
4 4.00 274.00 91.00 4.14 -8.32
4 5.00 111.00 52.00 -0.92 11.49
4 6.00 185.00 61.00 -7.18 8.29
4 7.00 258.00 64.00 7.23 8.25
4 8.00 269.00 nan 0.07 2.24
5 0.00 178.00 56.00 -0.05 0.55
5 1.00 145.00 35.00 -10.19 0.60
5 2.00 129.00 52.00 -9.74 -2.41
5 3.00 166.00 43.00 -7.11 -6.82
5 4.00 196.00 43.00 -2.66 -8.99
5 5.00 181.00 42.00 2.51 -8.67
5 6.00 204.00 61.00 7.38 -6.07
5 7.00 201.00 72.00 9.58 4.07
5 8.00 189.00 51.00 -5.21 9.44
5 9.00 180.00 53.00 2.62 9.86
5 10.00 161.00 75.00 8.02 7.16
5 11.00 205.00 52.00 -11.20 2.84
5 12.00 218.00 50.00 -10.23 -2.31
5 13.00 189.00 67.00 -7.55 -6.87
5 14.00 316.00 46.00 7.57 -7.14
5 15.00 123.00 66.00 10.32 -0.67
5 16.00 229.00 41.00 -2.27 9.74
5 17.00 256.00 202.00 3.03 9.80
5 18.00 304.00 77.00 -8.72 7.19
5 19.00 204.00 nan -3.39 -1.57
6 0.00 177.00 57.00 -0.12 0.74
6 1.00 147.00 59.00 -10.78 0.70
6 2.00 157.00 55.00 -8.70 -5.73
6 3.00 177.00 53.00 -1.94 -9.36
6 4.00 181.00 49.00 6.55 -7.48
6 5.00 128.00 70.00 9.94 -1.22
6 6.00 150.00 53.00 -3.18 8.18
6 7.00 180.00 61.00 6.38 7.82
6 8.00 152.00 nan -6.04 8.17
7 0.00 182.00 56.00 -0.09 0.27
7 1.00 112.00 37.00 -10.39 -0.70
7 2.00 139.00 59.00 -9.76 -3.78
7 3.00 178.00 52.00 -3.61 -8.87
7 4.00 188.00 55.00 4.06 -9.07
7 5.00 217.00 71.00 9.46 -1.06
7 6.00 158.00 62.00 -2.69 8.39
7 7.00 362.00 63.00 9.65 4.40
7 8.00 164.00 nan -1.58 -0.17
8 0.00 174.00 54.00 0.05 0.48
8 1.00 157.00 37.00 -10.26 1.37
8 2.00 149.00 52.00 -10.08 -1.68
8 3.00 133.00 50.00 -7.60 -6.73
8 4.00 193.00 119.00 -1.76 -8.75
8 5.00 250.00 55.00 1.47 -9.23
8 6.00 214.00 19.00 -0.29 0.11
8 7.00 185.00 nan 0.19 -0.05
9 0.00 187.00 56.00 0.18 0.81
9 1.00 104.00 72.00 -10.19 1.09
9 2.00 164.00 65.00 -1.17 -8.65
9 3.00 158.00 66.00 10.57 0.19
9 4.00 278.00 75.00 0.76 10.35
9 5.00 138.00 224.00 -10.92 2.16
9 6.00 803.00 nan -0.03 0.67
10 0.00 149.00 55.00 0.34 1.22
10 1.00 140.00 71.00 -10.18 0.19
10 2.00 154.00 65.00 -0.13 -9.34
10 3.00 213.00 61.00 10.60 0.22
10 4.00 232.00 29.00 -1.52 0.81
10 5.00 153.00 nan -0.60 0.72
11 0.00 179.00 258.00 0.29 1.03
11 1.00 179.00 51.00 -4.22 -8.82
11 2.00 315.00 47.00 2.91 -8.81
11 3.00 184.00 72.00 9.05 -3.07
11 4.00 180.00 49.00 -2.09 9.79
11 5.00 134.00 52.00 4.89 9.25
11 6.00 193.00 71.00 9.84 4.10
11 7.00 184.00 60.00 -8.62 5.22
11 8.00 192.00 58.00 -9.37 -2.24
11 9.00 222.00 59.00 -2.81 -7.53
11 10.00 160.00 53.00 -0.39 3.08
11 11.00 116.00 60.00 -3.45 9.14
11 12.00 140.00 nan 0.08 0.63
12 0.00 164.00 57.00 0.32 0.83
12 1.00 128.00 59.00 -9.53 -0.92
12 2.00 194.00 44.00 -5.00 -8.23
12 3.00 227.00 63.00 1.57 -9.67
12 4.00 175.00 nan -0.92 1.74
13 0.00 169.00 226.00 3.28 -7.83
13 1.00 236.00 84.00 -3.74 9.77
13 2.00 216.00 47.00 -8.23 -1.61
13 3.00 450.00 nan -0.21 -0.08
14 0.00 177.00 57.00 -0.70 0.59
14 1.00 186.00 53.00 -10.40 -0.73
14 2.00 132.00 36.00 -7.54 -6.26
14 3.00 198.00 49.00 -1.62 -9.29
14 4.00 252.00 47.00 7.28 -4.98
14 5.00 174.00 48.00 8.97 2.81
14 6.00 136.00 53.00 0.91 9.15
14 7.00 154.00 58.00 -8.04 8.03
14 8.00 237.00 146.00 -10.70 2.35
14 9.00 273.00 67.00 6.38 -5.63
14 10.00 292.00 76.00 -8.17 -5.34
14 11.00 195.00 59.00 7.22 8.04
14 12.00 160.00 60.00 9.37 2.93
14 13.00 242.00 58.00 -0.60 9.79
14 14.00 247.00 nan -1.26 1.19
15 0.00 153.00 58.00 -0.07 1.09
15 1.00 111.00 73.00 -10.57 -0.08
15 2.00 127.00 69.00 10.59 1.53
15 3.00 186.00 73.00 0.04 9.95
15 4.00 216.00 52.00 -10.19 1.20
15 5.00 350.00 nan -1.69 1.12
16 0.00 190.00 52.00 -5.89 -0.43
16 1.00 179.00 43.00 -8.47 -5.45
16 2.00 211.00 36.00 -1.11 -8.43
16 3.00 226.00 41.00 3.59 -8.40
16 4.00 182.00 45.00 -1.61 -9.13
16 5.00 136.00 53.00 -6.95 -7.03
16 6.00 221.00 43.00 -10.30 -2.10
16 7.00 208.00 177.00 -10.88 2.10
16 8.00 180.00 39.00 -2.81 10.34
16 9.00 149.00 49.00 1.87 10.46
16 10.00 178.00 47.00 6.80 8.21
