trl_n curr_stim_level search nitems curr_target
1 2 0 8 1
2 2 1 8 1
3 2 1 8 2
4 2 1 12 2
5 2 1 8 1
6 2 0 12 2
7 2 0 4 1
8 2 1 8 2
9 2 1 8 2
10 2 0 8 1
11 2 1 8 1
12 2 0 8 1
13 2 1 8 1
14 2 1 8 1
15 2 1 8 2
16 2 0 12 1
17 2 1 8 2
18 2 0 4 1
19 2 1 8 1
20 2 0 4 2
21 2 0 8 1
22 2 1 4 2
23 2 0 12 1
24 2 0 12 1
25 2 1 8 1
26 2 0 12 1
27 2 0 12 1
28 2 1 8 1
29 2 0 8 2
30 2 0 8 2
31 2 0 8 1
32 2 0 12 2
33 2 0 4 2
34 2 1 4 1
35 2 1 8 2
36 2 1 12 1
37 2 0 12 2
38 2 1 12 1
39 2 1 4 2
40 2 0 8 1
41 2 1 12 2
42 2 0 12 1
43 2 0 12 2
44 2 1 4 1
45 2 0 4 1
46 2 1 4 2
47 2 1 12 1
48 2 1 4 1
49 2 0 4 1
50 2 1 4 2
51 2 1 12 1
52 2 1 12 1
53 2 1 4 2
54 2 1 4 1
55 2 1 8 1
56 2 1 12 2
57 2 0 8 2
58 2 0 12 1
59 2 0 12 2
60 2 0 12 2
61 2 0 4 2
62 2 1 4 2
63 2 0 4 2
64 2 0 4 2
65 2 1 4 2
66 2 1 12 1
67 2 1 8 1
68 2 0 12 1
69 2 0 8 1
70 2 1 8 2
71 2 1 12 1
72 2 0 4 1
73 2 0 8 1
74 2 0 8 2
75 2 0 8 1
76 2 1 4 1
77 2 1 12 1
78 2 0 8 1
79 2 1 12 1
80 2 0 12 1
81 2 0 8 2
82 2 1 4 1
83 2 1 4 2
84 2 0 8 2
85 2 1 12 1
86 2 0 4 1
87 2 0 4 2
88 2 0 12 2
89 2 0 12 1
90 2 0 12 2
91 2 1 12 1
92 2 0 8 1
93 2 1 8 2
94 2 1 12 2
95 2 1 12 2
96 2 0 12 1
97 2 0 4 1
98 2 1 8 2
99 2 1 4 1
100 2 0 4 2
101 2 0 4 2
102 2 1 12 1
103 2 1 4 1
104 2 1 12 1
105 2 0 8 2
106 2 0 12 1
107 2 0 12 2
108 2 0 8 1
109 2 0 4 2
110 2 1 12 1
111 2 1 4 2
112 2 1 12 2
113 2 1 4 2
114 2 1 12 1
115 2 1 8 2
116 2 1 4 2
117 2 1 12 1
118 2 0 12 2
119 2 1 4 1
120 2 0 4 1
121 2 1 4 1
122 2 0 4 2
123 2 0 12 2
124 2 0 12 2
125 2 1 12 2
126 2 1 4 2
127 2 1 8 1
128 2 1 12 2
129 2 1 4 2
130 2 0 4 2
131 2 1 4 1
132 2 0 12 2
133 2 1 12 1
134 2 1 8 1
135 2 0 4 1
136 2 0 12 2
137 2 1 8 1
138 2 0 12 2
139 2 0 12 2
140 2 0 4 1
141 2 1 8 1
142 2 1 4 2
143 2 1 8 1
144 2 0 8 1
145 2 0 4 2
146 2 1 4 2
147 2 0 12 2
148 2 0 4 1
149 2 1 12 2
150 2 1 8 2
151 2 1 4 1
152 2 0 8 2
153 2 1 12 2
154 2 1 8 1
155 2 1 4 1
156 2 0 4 2
157 2 0 8 1
158 2 1 4 1
159 2 0 12 2
160 2 0 8 1
161 2 0 4 2
162 2 1 8 2
163 2 1 4 2
164 2 1 8 2
165 2 0 4 2
166 2 0 8 1
167 2 1 4 2
168 2 0 4 1
169 2 0 8 1
170 2 0 12 2
171 2 0 8 2
172 2 0 12 2
173 2 0 4 1
174 2 0 4 1
175 2 0 8 2
176 2 1 12 2
177 2 1 4 2
178 2 1 8 2
179 2 1 8 1
180 2 1 12 1
181 2 1 4 2
182 2 1 4 1
183 2 0 4 1
184 2 1 4 1
185 2 0 8 1
186 2 0 12 2
187 2 0 4 1
188 2 0 4 2
189 2 1 8 2
190 2 0 8 2
191 2 1 12 2
192 2 1 8 1
193 2 1 12 1
194 2 0 4 1
195 2 0 8 1
196 2 0 12 2
197 2 0 8 2
198 2 1 8 1
199 2 1 8 1
200 2 0 4 2
201 2 0 8 2
202 2 1 12 2
203 2 0 8 1
204 2 1 8 2
205 2 0 12 2
206 2 1 12 2
207 2 0 12 2
208 2 1 12 2
209 2 0 4 1
210 2 0 4 1
211 2 1 12 2
212 2 0 8 1
213 2 1 4 2
214 2 0 8 2
215 2 1 12 2
216 2 1 12 2
217 2 1 12 2
218 2 0 12 2
219 2 0 4 2
220 2 0 4 2
221 2 0 8 2
222 2 1 4 2
223 2 0 8 1
224 2 0 8 2
225 2 0 4 1
226 2 1 4 2
227 2 1 8 1
228 2 1 4 1
229 2 0 12 2
230 2 1 8 2
231 2 1 8 1
