trl_n curr_stim_level search nitems curr_target
1 2 1 4 1
2 2 1 4 2
3 2 0 8 1
4 2 0 4 1
5 2 0 12 1
6 2 1 12 1
7 2 1 4 1
8 2 1 8 1
9 2 0 12 2
10 2 1 12 2
11 2 0 12 1
12 2 0 12 1
13 2 1 4 2
14 2 0 4 1
15 2 0 8 1
16 2 0 12 2
17 2 0 4 2
18 2 0 8 2
19 2 1 12 2
20 2 0 4 2
21 2 0 8 2
22 2 0 8 2
23 2 1 8 2
24 2 1 8 2
25 2 1 4 2
26 2 0 4 2
27 2 1 8 1
28 2 1 4 1
29 2 1 8 1
30 2 1 4 1
31 2 1 8 2
32 2 0 4 2
33 2 1 8 1
34 2 1 4 1
35 2 0 4 1
36 2 0 8 1
37 2 1 12 1
38 2 0 12 2
39 2 1 4 1
40 2 0 4 2
41 2 0 4 2
42 2 0 12 2
43 2 0 8 2
44 2 1 12 2
45 2 1 8 2
46 2 0 12 2
47 2 1 12 1
48 2 0 8 1
49 2 1 12 1
50 2 0 8 1
51 2 0 8 1
52 2 0 4 1
53 2 1 4 2
54 2 1 12 2
55 2 0 12 2
56 2 0 4 1
57 2 1 8 2
58 2 1 4 2
59 2 1 12 2
60 2 1 4 2
61 2 0 8 1
62 2 0 4 1
63 2 0 12 2
64 2 1 8 1
65 2 1 8 1
66 2 0 8 2
67 2 0 12 2
68 2 0 4 2
69 2 0 8 2
70 2 1 8 1
71 2 1 8 1
72 2 1 12 2
73 2 1 12 2
74 2 1 12 2
75 2 0 12 1
76 2 1 4 1
77 2 1 12 1
78 2 0 4 1
79 2 1 12 1
80 2 1 12 1
81 2 1 12 1
82 2 0 4 1
83 2 0 12 1
84 2 0 4 1
85 2 0 4 2
86 2 1 4 1
87 2 1 8 2
88 2 1 12 1
89 2 0 8 1
90 2 0 8 1
91 2 0 8 1
92 2 1 8 1
93 2 1 4 1
94 2 1 4 2
95 2 0 8 2
96 2 0 8 2
97 2 1 8 2
98 2 0 4 2
99 2 0 12 1
100 2 0 4 2
101 2 1 8 2
102 2 0 12 1
103 2 0 12 1
104 2 1 4 2
105 2 1 12 2
106 2 1 12 2
107 2 1 8 2
108 2 1 8 1
109 2 0 12 1
110 2 0 12 2
111 2 0 12 2
112 2 0 8 2
113 2 1 4 2
114 2 1 4 2
115 2 1 8 2
116 2 1 12 1
117 2 0 12 1
118 2 1 4 1
119 2 0 4 1
120 2 0 8 2
121 0 0 12 1
122 0 1 8 2
123 0 0 8 1
124 0 1 12 2
125 0 1 4 1
126 0 1 4 2
127 0 1 12 1
128 0 0 8 1
129 0 0 8 1
130 0 0 8 2
131 0 1 4 1
132 0 0 8 2
133 0 0 4 1
134 0 0 4 1
135 0 1 12 2
136 0 0 12 1
137 0 1 12 1
138 0 0 4 2
139 0 0 12 2
140 0 0 4 1
141 0 0 8 1
142 0 0 8 2
143 0 0 8 1
144 0 0 4 1
145 0 1 8 2
146 0 1 8 2
147 0 1 12 1
148 0 1 8 1
149 0 0 12 2
150 0 1 4 1
151 0 0 12 1
152 0 0 12 1
153 0 0 12 1
154 0 1 12 2
155 0 0 4 1
156 0 1 4 2
157 0 0 4 1
158 0 0 12 2
159 0 0 8 2
160 0 0 8 2
161 0 1 8 1
162 0 1 12 2
163 0 0 4 2
164 0 1 12 1
165 0 1 4 1
166 0 0 4 2
167 0 0 12 2
168 0 1 12 2
169 0 1 4 1
170 0 0 4 2
171 0 1 4 2
