# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 180.00 59.00 0.15 -0.40
1 1.00 500.00 46.00 -11.41 -1.57
1 2.00 544.00 51.00 -10.15 -5.89
1 3.00 291.00 45.00 -6.35 -9.47
1 4.00 660.00 47.00 -1.47 -11.26
1 5.00 200.00 30.00 4.42 -10.32
1 6.00 163.00 44.00 3.42 -10.80
1 7.00 543.00 47.00 7.70 -7.51
1 8.00 335.00 40.00 9.20 -1.54
1 9.00 513.00 39.00 8.04 3.24
1 10.00 794.00 43.00 4.75 6.60
1 11.00 471.00 300.00 -0.47 8.56
1 12.00 498.00 38.00 -5.31 6.53
1 13.00 148.00 24.00 -8.79 3.69
1 14.00 333.00 42.00 -9.89 3.66
1 15.00 569.00 45.00 -12.03 -0.73
1 16.00 362.00 40.00 -10.01 -6.10
1 17.00 423.00 47.00 -6.95 -9.50
1 18.00 427.00 47.00 -1.68 -11.35
1 19.00 210.00 24.00 4.04 -10.52
1 20.00 402.00 48.00 3.03 -10.61
1 21.00 461.00 49.00 7.25 -6.69
1 22.00 957.00 31.00 9.06 -1.70
1 23.00 269.00 48.00 10.67 -1.38
1 24.00 512.00 24.00 8.30 3.35
1 25.00 593.00 39.00 7.61 3.62
1 26.00 528.00 39.00 4.39 6.28
1 27.00 303.00 27.00 0.29 7.50
1 28.00 412.00 41.00 -1.14 7.93
1 29.00 180.00 27.00 -4.97 6.71
1 30.00 608.00 40.00 -6.22 6.82
1 31.00 533.00 42.00 -1.35 8.33
1 32.00 300.00 25.00 -5.45 6.79
1 33.00 589.00 182.00 -4.32 7.16
1 34.00 262.00 31.00 -2.80 -9.66
1 35.00 551.00 41.00 -1.60 -11.52
1 36.00 321.00 17.00 -6.09 -9.78
1 37.00 117.00 44.00 -7.00 -9.52
1 38.00 251.00 58.00 -2.10 -11.80
1 39.00 518.00 42.00 -10.42 -5.90
1 40.00 591.00 44.00 -12.22 -0.82
