# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 175.00 20.00 0.97 -0.72
1 1.00 345.00 34.00 -7.85 2.22
1 2.00 272.00 114.00 -3.83 -11.43
1 3.00 271.00 0.00 11.09 -5.80
1 4.00 154.00 32.00 11.63 -4.88
1 5.00 195.00 0.00 5.91 7.35
1 6.00 249.00 36.00 5.12 7.76
1 7.00 140.00 0.00 -8.74 2.83
1 8.00 248.00 nan -9.00 1.68
2 0.00 156.00 23.00 0.98 -0.50
2 1.00 197.00 0.00 -9.95 3.24
2 2.00 425.00 35.00 -10.78 2.82
2 3.00 244.00 0.00 -3.94 -11.98
2 4.00 105.00 31.00 -4.56 -11.93
2 5.00 205.00 0.00 10.28 -5.12
2 6.00 600.00 30.00 9.15 -4.62
2 7.00 145.00 0.00 4.64 9.51
2 8.00 139.00 nan 4.14 8.19
3 0.00 154.00 23.00 0.39 -0.80
3 1.00 112.00 2.00 -10.13 1.82
3 2.00 173.00 0.00 -10.78 -0.67
3 3.00 347.00 22.00 -11.08 -1.13
3 4.00 172.00 0.00 -6.46 -10.30
3 5.00 220.00 12.00 -7.90 -9.92
3 6.00 182.00 0.00 -1.19 -11.77
3 7.00 148.00 18.00 -1.03 -11.82
3 8.00 270.00 0.00 7.97 -8.11
3 9.00 167.00 15.00 7.57 -7.91
3 10.00 163.00 0.00 10.15 -2.05
3 11.00 862.00 nan 9.54 -0.37
4 0.00 173.00 22.00 0.73 -0.80
4 1.00 189.00 0.00 -10.35 1.22
4 2.00 316.00 16.00 -10.92 1.83
4 3.00 286.00 52.00 -9.75 -6.30
4 4.00 398.00 18.00 -3.46 -11.82
4 5.00 317.00 19.00 5.00 -10.58
4 6.00 233.00 0.00 10.19 -4.45
4 7.00 167.00 19.00 9.15 -4.04
4 8.00 352.00 0.00 8.49 3.67
4 9.00 565.00 nan 8.09 3.84
5 0.00 153.00 22.00 0.65 -0.75
5 1.00 135.00 6.00 -9.93 1.18
5 2.00 416.00 25.00 -9.72 3.59
5 3.00 240.00 0.00 -10.44 -3.30
5 4.00 318.00 23.00 -11.16 -3.37
5 5.00 220.00 0.00 -5.57 -11.04
5 6.00 168.00 17.00 -6.36 -11.24
5 7.00 212.00 69.00 2.07 -11.58
5 8.00 569.00 23.00 -6.75 -10.92
5 9.00 161.00 nan -11.36 -4.06
6 0.00 166.00 22.00 0.38 -0.97
6 1.00 137.00 2.00 -8.26 3.86
6 2.00 219.00 0.00 -7.85 6.01
6 3.00 236.00 29.00 -8.42 6.17
6 4.00 168.00 0.00 -8.29 -8.69
6 5.00 177.00 27.00 -8.45 -8.79
6 6.00 253.00 0.00 6.80 -8.92
6 7.00 118.00 42.00 6.11 -8.44
6 8.00 147.00 0.00 6.31 7.10
6 9.00 363.00 nan 6.73 6.02
7 0.00 152.00 21.00 0.45 -0.65
7 1.00 154.00 0.00 -10.03 1.77
7 2.00 294.00 32.00 -11.36 1.81
7 3.00 393.00 36.00 -3.89 -12.23
7 4.00 203.00 0.00 10.45 -3.54
7 5.00 525.00 nan 9.23 -3.46
8 0.00 168.00 23.00 0.60 -0.98
8 1.00 151.00 0.00 -6.57 5.47
8 2.00 426.00 35.00 -7.60 6.27
8 3.00 195.00 0.00 -8.02 -8.13
8 4.00 356.00 26.00 -9.15 -8.30
8 5.00 355.00 37.00 5.41 -9.39
8 6.00 154.00 0.00 8.34 4.55
8 7.00 500.00 nan 6.96 5.19
9 0.00 170.00 21.00 0.52 -1.01
9 1.00 213.00 0.00 -10.37 1.55
9 2.00 329.00 14.00 -11.61 1.87
9 3.00 269.00 0.00 -10.97 -3.91
9 4.00 180.00 9.00 -11.33 -3.94
9 5.00 180.00 0.00 -8.03 -8.33
9 6.00 195.00 9.00 -8.31 -8.91
9 7.00 199.00 0.00 -3.52 -11.21
9 8.00 262.00 11.00 -2.14 -11.60
9 9.00 212.00 0.00 4.21 -10.91
9 10.00 167.00 7.00 4.19 -11.22
9 11.00 180.00 0.00 8.49 -8.90
9 12.00 123.00 10.00 8.74 -8.73
9 13.00 205.00 0.00 11.32 -3.74
9 14.00 132.00 13.00 11.43 -3.39
9 15.00 306.00 17.00 11.00 1.60
9 16.00 157.00 0.00 7.79 5.13
9 17.00 623.00 nan 8.22 5.80
10 0.00 172.00 23.00 0.22 -0.55
10 1.00 138.00 1.00 -10.33 1.60
10 2.00 148.00 35.00 -11.00 -0.65
10 3.00 325.00 20.00 -9.39 -1.50
10 4.00 188.00 0.00 -6.56 -9.44
10 5.00 506.00 nan -5.80 -9.49
11 0.00 155.00 19.00 0.40 -0.86
11 1.00 139.00 0.00 -9.10 2.13
11 2.00 321.00 31.00 -8.74 2.34
11 3.00 185.00 1.00 -4.58 -12.81
11 4.00 268.00 32.00 -2.91 -12.08
11 5.00 179.00 0.00 10.60 -5.45
11 6.00 242.00 33.00 11.42 -4.66
11 7.00 111.00 0.00 5.54 8.23
11 8.00 399.00 nan 5.30 8.09
12 0.00 163.00 21.00 0.71 -1.23
12 1.00 374.00 0.00 -9.40 0.25
12 2.00 314.00 9.00 -8.90 -0.55
12 3.00 372.00 15.00 -8.13 -6.27
12 4.00 160.00 0.00 -5.36 -10.09
12 5.00 262.00 10.00 -4.41 -10.85
12 6.00 294.00 14.00 0.24 -11.80
12 7.00 268.00 15.00 6.19 -10.58
12 8.00 255.00 18.00 10.05 -7.46
12 9.00 176.00 0.00 11.82 -2.63
