# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 182.00 18.00 -0.04 0.20
1 1.00 145.00 0.00 -4.24 -6.77
1 2.00 143.00 17.00 -5.66 -7.51
1 3.00 204.00 19.00 1.30 -9.62
1 4.00 153.00 22.00 8.64 -6.63
1 5.00 139.00 88.00 10.85 0.87
1 6.00 221.00 36.00 7.14 7.52
1 7.00 207.00 14.00 -7.08 7.03
1 8.00 213.00 29.00 -0.70 10.20
1 9.00 222.00 41.00 -9.89 0.86
1 10.00 240.00 20.00 7.49 -6.03
1 11.00 144.00 nan 0.21 -8.91
2 0.00 191.00 17.00 -0.67 0.07
2 1.00 202.00 2.00 -1.80 -8.27
2 2.00 144.00 7.00 0.33 -9.03
2 3.00 136.00 21.00 3.54 -9.13
2 4.00 266.00 27.00 9.26 -3.42
2 5.00 203.00 19.00 9.53 3.20
2 6.00 188.00 6.00 4.56 8.63
2 7.00 145.00 24.00 1.44 9.75
2 8.00 210.00 15.00 -7.62 5.88
2 9.00 142.00 63.00 -10.08 0.33
2 10.00 106.00 94.00 -9.84 -3.59
2 11.00 294.00 9.00 -6.72 -8.13
2 12.00 119.00 nan -9.17 -4.48
3 0.00 177.00 18.00 -0.85 -0.12
3 1.00 176.00 0.00 -6.72 -6.08
3 2.00 123.00 17.00 -7.23 -6.96
3 3.00 468.00 nan -0.20 -10.15
4 0.00 170.00 20.00 -0.68 -0.17
4 1.00 187.00 29.00 -5.54 -7.39
4 2.00 164.00 71.00 7.76 -6.17
4 3.00 176.00 122.00 6.36 6.61
4 4.00 282.00 32.00 -8.93 5.20
4 5.00 102.00 nan -4.70 -5.87
5 0.00 183.00 95.00 -0.25 -0.19
5 1.00 180.00 29.00 -6.84 -6.94
5 2.00 236.00 64.00 6.72 -7.50
5 3.00 107.00 0.00 7.61 6.11
5 4.00 132.00 31.00 7.58 6.32
5 5.00 392.00 nan -6.97 6.69
6 0.00 196.00 11.00 -2.56 -3.24
6 1.00 151.00 17.00 -6.26 -6.33
6 2.00 163.00 17.00 -0.01 -9.34
6 3.00 154.00 17.00 6.59 -6.84
6 4.00 194.00 26.00 9.04 -0.85
6 5.00 202.00 35.00 6.61 6.67
6 6.00 164.00 104.00 -6.93 7.06
6 7.00 203.00 32.00 -10.60 0.65
6 8.00 336.00 47.00 -1.16 9.91
6 9.00 231.00 0.00 -0.58 -6.99
6 10.00 103.00 15.00 -0.66 -7.27
6 11.00 137.00 nan 6.79 -6.93
7 0.00 176.00 16.00 -0.98 -0.66
7 1.00 212.00 0.00 -3.62 -8.13
7 2.00 123.00 11.00 -2.43 -9.19
7 3.00 166.00 11.00 2.74 -9.61
7 4.00 159.00 14.00 7.48 -7.65
7 5.00 195.00 36.00 10.05 -2.49
7 6.00 176.00 21.00 9.87 1.91
7 7.00 184.00 3.00 5.29 8.03
7 8.00 167.00 30.00 2.90 9.49
7 9.00 179.00 19.00 -6.29 8.10
7 10.00 206.00 12.00 -9.90 2.68
7 11.00 206.00 13.00 -9.82 -2.13
7 12.00 208.00 22.00 -7.33 -6.98
7 13.00 210.00 29.00 0.63 -9.52
7 14.00 247.00 14.00 9.40 -3.52
7 15.00 127.00 nan 9.77 1.28
8 0.00 188.00 19.00 -0.47 -0.23
8 1.00 220.00 26.00 -5.26 -6.85
8 2.00 225.00 40.00 6.71 -7.34
8 3.00 208.00 nan 7.23 5.56
9 0.00 146.00 18.00 -2.02 -1.37
9 1.00 137.00 0.00 -6.77 -6.03
9 2.00 122.00 13.00 -5.61 -7.94
9 3.00 149.00 10.00 -0.26 -9.44
9 4.00 210.00 13.00 4.35 -9.11
9 5.00 188.00 22.00 8.60 -5.33
9 6.00 206.00 11.00 9.88 -0.37
9 7.00 212.00 24.00 8.96 4.45
9 8.00 208.00 0.00 2.29 9.42
9 9.00 532.00 nan 0.20 10.10
10 0.00 201.00 22.00 -0.65 0.50
10 1.00 200.00 14.00 -9.49 -0.68
10 2.00 164.00 17.00 -8.06 -5.67
10 3.00 162.00 11.00 -3.53 -8.49
10 4.00 171.00 11.00 1.08 -9.81
10 5.00 168.00 11.00 5.56 -8.54
10 6.00 196.00 16.00 8.94 -4.33
10 7.00 179.00 8.00 9.40 0.88
10 8.00 203.00 34.00 8.06 5.59
10 9.00 202.00 0.00 -4.31 9.12
10 10.00 213.00 16.00 -4.52 9.27
10 11.00 235.00 18.00 -9.33 5.25
10 12.00 179.00 13.00 -10.11 -1.23
10 13.00 150.00 29.00 -8.07 -6.36
10 14.00 191.00 21.00 3.87 -9.50
10 15.00 182.00 nan 9.74 -3.99
11 0.00 182.00 15.00 -0.56 -1.26
11 1.00 180.00 104.00 -1.43 -8.58
11 2.00 115.00 78.00 3.97 -9.84
11 3.00 192.00 11.00 8.29 -6.21
11 4.00 396.00 nan 9.48 -1.68
12 0.00 169.00 20.00 -0.17 -0.50
12 1.00 247.00 9.00 3.47 -8.40
12 2.00 129.00 28.00 6.83 -7.76
12 3.00 127.00 0.00 -6.08 -8.17
12 4.00 155.00 8.00 -6.42 -8.05
12 5.00 175.00 13.00 -9.66 -4.33
12 6.00 170.00 9.00 -9.97 1.27
12 7.00 147.00 24.00 -8.24 5.41
12 8.00 276.00 3.00 1.36 8.98
12 9.00 175.00 16.00 4.66 8.52
12 10.00 190.00 10.00 8.55 4.26
12 11.00 148.00 53.00 9.54 -0.57
12 12.00 205.00 30.00 8.30 -5.42
12 13.00 294.00 nan -1.95 -9.39
13 0.00 123.00 11.00 -1.48 -3.58
13 1.00 126.00 83.00 -2.62 -8.26
13 2.00 133.00 18.00 3.97 -9.41
13 3.00 196.00 17.00 8.91 -3.83
13 4.00 134.00 64.00 9.18 2.79
13 5.00 199.00 20.00 2.73 8.86
13 6.00 194.00 nan 8.99 3.69
14 0.00 178.00 19.00 -0.33 -0.40
