# minimum duration: 100
# smoothing window: 30
# velocity threshold: 50
# dispersion threshold: 1
trl fix_id fdur sdur xpos ypos
1 0.00 167.00 56.00 -0.03 0.21
1 1.00 111.00 30.00 -4.23 -6.77
1 2.00 110.00 54.00 -5.69 -7.51
1 3.00 170.00 58.00 1.31 -9.62
1 4.00 119.00 289.00 8.62 -6.58
1 5.00 180.00 73.00 7.12 7.59
1 6.00 169.00 57.00 -7.16 7.03
1 7.00 172.00 64.00 -0.64 10.27
1 8.00 188.00 81.00 -9.99 0.80
1 9.00 202.00 54.00 7.53 -6.04
1 10.00 123.00 nan -0.03 -8.93
2 0.00 175.00 57.00 -0.67 0.10
2 1.00 166.00 35.00 -1.79 -8.26
2 2.00 114.00 37.00 0.41 -9.05
2 3.00 105.00 58.00 3.58 -9.12
2 4.00 242.00 59.00 9.24 -3.38
2 5.00 161.00 52.00 9.52 3.26
2 6.00 154.00 39.00 4.51 8.64
2 7.00 113.00 58.00 1.37 9.78
2 8.00 179.00 52.00 -7.71 5.86
2 9.00 160.00 43.00 -10.21 0.24
2 10.00 153.00 50.00 -9.95 -3.80
2 11.00 258.00 nan -6.70 -8.21
3 0.00 162.00 56.00 -0.84 -0.10
3 1.00 263.00 53.00 -6.94 -6.44
3 2.00 435.00 nan -0.20 -10.15
4 0.00 154.00 57.00 -0.66 -0.16
4 1.00 153.00 75.00 -5.55 -7.37
4 2.00 157.00 71.00 7.77 -6.13
4 3.00 225.00 76.00 6.28 6.68
4 4.00 244.00 nan -8.96 5.19
5 0.00 165.00 133.00 -0.25 -0.15
5 1.00 144.00 75.00 -6.88 -6.95
5 2.00 224.00 78.00 6.70 -7.47
5 3.00 194.00 75.00 7.60 6.28
5 4.00 365.00 nan -7.00 6.69
6 0.00 181.00 45.00 -2.55 -3.23
6 1.00 117.00 54.00 -6.29 -6.32
6 2.00 129.00 57.00 -0.03 -9.34
6 3.00 117.00 61.00 6.59 -6.80
6 4.00 157.00 57.00 9.00 -0.79
6 5.00 167.00 69.00 6.60 6.71
6 6.00 212.00 57.00 -7.07 6.98
6 7.00 166.00 70.00 -10.64 0.62
6 8.00 299.00 90.00 -1.17 9.96
6 9.00 291.00 54.00 -0.62 -7.15
6 10.00 103.00 nan 6.98 -6.91
7 0.00 159.00 54.00 -0.97 -0.63
7 1.00 180.00 169.00 -3.62 -8.12
7 2.00 132.00 46.00 2.78 -9.62
7 3.00 127.00 50.00 7.51 -7.63
7 4.00 186.00 240.00 10.02 -2.39
7 5.00 150.00 37.00 5.24 8.07
7 6.00 137.00 62.00 2.79 9.53
7 7.00 148.00 55.00 -6.41 8.08
7 8.00 169.00 53.00 -9.98 2.61
7 9.00 164.00 52.00 -9.83 -2.24
7 10.00 172.00 56.00 -7.30 -7.11
7 11.00 177.00 70.00 0.79 -9.57
7 12.00 210.00 nan 9.41 -3.38
8 0.00 170.00 58.00 -0.45 -0.22
8 1.00 184.00 69.00 -5.28 -6.83
8 2.00 192.00 72.00 6.71 -7.33
8 3.00 171.00 nan 7.23 5.60
9 0.00 117.00 52.00 -2.04 -1.37
9 1.00 102.00 176.00 -6.77 -5.98
9 2.00 113.00 43.00 -0.21 -9.44
